AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,player_id,season,source_file,injured
,14.0,,,,100.0,2024-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,98.0,1.0,,,54.5,30.0,NYG,,,2.0,"W, 28-6",,1.0,0.0,0.0,,1.0,0.0,,MIN,2.0,1.0,6.7,,7.5,,7.5,94.0,15.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,9.0,,,,83.3,2024-09-15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,99.0,2.0,,,61.1,33.0,SFO,,,5.0,"W, 23-17",,2.0,0.0,0.0,,0.0,0.0,,MIN,6.0,2.0,3.6,,7.2,,6.0,32.0,36.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,19.0,,,,83.3,2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,100.0,3.0,,,60.3,38.0,HOU,,,5.0,"W, 34-7",,3.0,0.0,0.0,,0.0,1.0,,MIN,6.0,3.0,5.4,,9.2,,7.7,102.0,46.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,22.0,,,,80.0,2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,101.0,4.0,,,82.4,56.0,GNB,,,4.0,"W, 31-29",,4.0,0.0,0.0,,0.0,0.0,,MIN,5.0,4.0,4.2,,11.5,,9.2,93.0,46.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,7.0,,,,100.0,2024-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,102.0,5.0,,,21.9,16.0,NYJ,,,1.0,"W, 23-17",,5.0,0.0,0.0,,0.0,0.0,,MIN,1.0,5.0,4.1,,24.0,,24.0,29.0,24.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,14.0,,,,100.0,2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,103.0,6.0,,,71.7,43.0,DET,,,3.0,"L, 29-31",,6.0,0.0,0.0,,1.0,0.0,,MIN,3.0,7.0,6.6,,7.7,,7.7,93.0,23.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,19.0,,,,100.0,2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,104.0,7.0,,,92.0,46.0,LAR,,,2.0,"L, 20-30",,7.0,0.0,0.0,,0.0,0.0,,MIN,2.0,8.0,3.1,,18.5,,18.5,58.0,37.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,21.0,,,,100.0,2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,105.0,8.0,,,75.3,55.0,IND,,,4.0,"W, 21-13",,8.0,0.0,0.0,,0.0,0.0,,MIN,4.0,9.0,3.0,,4.5,,4.5,64.0,18.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,17.0,,,,66.7,2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,106.0,9.0,,,52.4,44.0,JAX,,,2.0,"W, 12-7",,9.0,0.0,0.0,,0.0,0.0,,MIN,3.0,10.0,5.2,,6.5,,4.3,88.0,13.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,15.0,,,,100.0,2024-11-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,*,107.0,10.0,,,53.4,39.0,TEN,,,1.0,"W, 23-13",,10.0,0.0,0.0,,0.0,0.0,,MIN,1.0,11.0,2.6,,4.0,,4.0,39.0,4.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,22.0,,,,75.0,2024-11-24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,108.0,11.0,,,78.9,56.0,CHI,,,3.0,"W, 30-27 (OT)",,11.0,0.0,0.0,,1.0,0.0,,MIN,4.0,12.0,4.8,,7.7,,5.8,106.0,23.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,5.0,,,,75.0,2024-12-01,0.0,0.0,0.0,1.0,0.0,0.0,2.0,*,109.0,12.0,,,52.8,28.0,ARI,,,3.0,"W, 23-22",,12.0,0.0,0.0,,0.0,1.0,,MIN,4.0,13.0,4.4,,2.0,,1.5,22.0,6.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,13.0,,,,100.0,2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,110.0,13.0,,,63.3,38.0,ATL,,,2.0,"W, 42-21",,13.0,0.0,0.0,,1.0,0.0,,MIN,2.0,14.0,5.6,,5.5,,5.5,73.0,11.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,18.0,,,,66.7,2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,111.0,14.0,,,61.0,47.0,CHI,,,2.0,"W, 30-12",,14.0,0.0,0.0,,1.0,0.0,,MIN,3.0,15.0,4.8,,10.0,,6.7,86.0,20.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,18.0,,,,60.0,2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,112.0,15.0,,,81.8,54.0,SEA,,,3.0,"W, 27-24",,15.0,0.0,0.0,,0.0,0.0,,MIN,5.0,16.0,3.7,,8.7,,5.2,67.0,26.0,0.0,,,@,joneaa00,2024,joneaa00_2024_gamelog.csv,False
,12.0,,,,80.0,2024-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,113.0,16.0,,,51.4,37.0,GNB,,,4.0,"W, 27-25",,16.0,0.0,0.0,,0.0,0.0,,MIN,5.0,17.0,3.9,,7.5,,6.0,47.0,30.0,0.0,,,,joneaa00,2024,joneaa00_2024_gamelog.csv,False
