AY/A,Ast,Att,Att.1,Cmp,Cmp%,Comb,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,QBHits,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sfty,Sk,Sk.1,Solo,TD,TD.1,TD.2,TFL,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,injured,player_id,season,source_file,touches_prev,touches_prev_2,touches_prev_3,career_touches_prior,prior_multiweek_prev,age
,,18.0,,,,,85.7,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,45.0,1.0,,,83.3,50.0,TEN,,,,6.0,"W, 21-20",,,1.0,0.0,0.0,,,,,1.0,0.0,,,NYG,7.0,@,1.0,9.1,,5.0,,,4.3,164.0,30.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,0.0,0.0,0.0,0.0,0.0,27
,,21.0,,,,,75.0,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,46.0,2.0,,,83.6,61.0,CAR,,,,3.0,"W, 19-16",,,2.0,0.0,0.0,,,,,0.0,0.0,,,NYG,4.0,,2.0,3.4,,5.3,,,4.0,72.0,16.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,18.0,0.0,0.0,18.0,0.0,27
,,14.0,,,,,100.0,2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,47.0,3.0,,,91.7,66.0,DAL,,,,4.0,"L, 16-23",,,3.0,0.0,0.0,,,,,1.0,0.0,,,NYG,4.0,,3.0,5.8,,11.3,,,11.3,81.0,45.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,21.0,18.0,0.0,39.0,0.0,27
,,31.0,,,,,100.0,2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,48.0,4.0,,,93.8,61.0,CHI,,,,2.0,"W, 20-12",,,4.0,0.0,0.0,,,,,0.0,0.0,,,NYG,2.0,,4.0,4.7,,8.0,,,8.0,146.0,16.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,14.0,21.0,18.0,53.0,0.0,27
,,13.0,,,,,50.0,2022-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,49.0,5.0,,,68.9,42.0,GNB,,,,3.0,"W, 27-22",,,5.0,0.0,0.0,,,,,1.0,0.0,,,NYG,6.0,@,5.0,5.4,,12.0,,,6.0,70.0,36.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,31.0,14.0,21.0,84.0,0.0,27
,,22.0,,,,,100.0,2022-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,50.0,6.0,,,87.7,57.0,BAL,,,,3.0,"W, 24-20",,,6.0,0.0,0.0,,,,,1.0,0.0,,,NYG,3.0,,6.0,3.8,,4.0,,,4.0,83.0,12.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,13.0,31.0,14.0,97.0,0.0,27
,,24.0,,,,,100.0,2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,51.0,7.0,,,80.5,62.0,JAX,,,,4.0,"W, 23-17",,,7.0,0.0,0.0,,,,,0.0,0.0,,,NYG,4.0,@,7.0,4.6,,6.3,,,6.3,110.0,25.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,22.0,13.0,31.0,119.0,0.0,27
,,20.0,,,,,60.0,2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,52.0,8.0,,,80.0,52.0,SEA,,,,3.0,"L, 13-27",,,8.0,0.0,0.0,,,,,1.0,0.0,,,NYG,5.0,@,8.0,2.7,,3.0,,,1.8,53.0,9.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,24.0,22.0,13.0,143.0,0.0,27
,,35.0,,,,,100.0,2022-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,53.0,9.0,,,79.7,55.0,HOU,,,,1.0,"W, 24-16",,,9.0,6.7,2.0,,,,,1.0,0.0,,,NYG,1.0,,10.0,4.3,,8.0,,,8.0,152.0,8.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,20.0,24.0,22.0,163.0,0.0,27
,,15.0,,,,,40.0,2022-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,54.0,10.0,,,76.3,58.0,DET,,,,2.0,"L, 18-31",,,10.0,0.0,0.0,,,,,0.0,0.0,,,NYG,5.0,,11.0,1.5,,6.5,,,2.6,22.0,13.0,0.0,,,,False,barksa00,2022,barksa00_2022_gamelog.csv,35.0,20.0,24.0,198.0,0.0,27
