AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,injured,player_id,season,source_file,touches_prev,touches_prev_2,touches_prev_3,career_touches_prior,prior_multiweek_prev,age
,12.0,,,,75.0,2023-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,1.0,,,64.3,45.0,DAL,,,3.0,"L, 0-40",,,1.0,0.0,0.0,,0.0,0.0,,NYG,4.0,,1.0,4.3,,4.0,,,3.0,51.0,12.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,0.0,0.0,0.0,0.0,0.0,28
,17.0,,,,85.7,2023-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,62.0,2.0,,,97.1,66.0,ARI,,,6.0,"W, 31-28",,,2.0,0.0,0.0,,1.0,1.0,,NYG,7.0,@,2.0,3.7,,4.8,,,4.1,63.0,29.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,12.0,0.0,0.0,12.0,0.0,28
,,,,,,2023-09-21,,,,,,,,Inactive,,3.0,,,,,SFO,,,,"L, 12-30",,,2.0,,,,,,,NYG,,@,3.0,,,,,,,,,,,,,True,barksa00,2023,barksa00_2023_gamelog.csv,17.0,12.0,0.0,29.0,0.0,28
,,,,,,2023-10-02,,,,,,,,Inactive,,4.0,,,,,SEA,,,,"L, 3-24",,,2.0,,,,,,,NYG,,,4.0,,,,,,,,,,,,,True,barksa00,2023,barksa00_2023_gamelog.csv,0.0,17.0,12.0,29.0,1.0,28
,,,,,,2023-10-08,,,,,,,,Inactive,,5.0,,,,,MIA,,,,"L, 16-31",,,2.0,,,,,,,NYG,,@,5.0,,,,,,,,,,,,,True,barksa00,2023,barksa00_2023_gamelog.csv,0.0,0.0,17.0,29.0,2.0,28
,24.0,,,,80.0,2023-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,63.0,6.0,,,77.9,60.0,BUF,,,4.0,"L, 9-14",,,3.0,0.0,0.0,,0.0,0.0,,NYG,5.0,@,6.0,3.9,,1.3,,,1.0,93.0,5.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,0.0,0.0,0.0,29.0,3.0,28
,21.0,,,,75.0,2023-10-22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,64.0,7.0,,,83.8,57.0,WAS,,,3.0,"W, 14-7",,,4.0,0.0,0.0,,0.0,1.0,,NYG,4.0,,7.0,3.7,,13.7,,,10.3,77.0,41.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,24.0,0.0,0.0,53.0,2.0,28
,36.0,,,,60.0,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,65.0,8.0,,,89.3,67.0,NYJ,,,3.0,"L, 10-13 (OT)",,,5.0,0.0,0.0,,0.0,0.0,,NYG,5.0,,8.0,3.6,,0.0,,,0.0,128.0,0.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,21.0,24.0,0.0,74.0,1.0,28
,16.0,,,,75.0,2023-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,66.0,9.0,,,74.6,47.0,LVR,,,3.0,"L, 6-30",,,6.0,0.0,0.0,,0.0,0.0,,NYG,4.0,@,9.0,5.6,,7.7,,,5.8,90.0,23.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,36.0,21.0,24.0,110.0,0.0,28
,13.0,,,,33.3,2023-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,67.0,10.0,,,61.4,35.0,DAL,,,1.0,"L, 17-49",,,7.0,0.0,0.0,,0.0,0.0,,NYG,3.0,@,10.0,5.1,,-5.0,,,-1.7,66.0,-5.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,16.0,36.0,21.0,126.0,0.0,28
,14.0,,,,80.0,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,68.0,11.0,,,90.9,50.0,WAS,,,4.0,"W, 31-19",,,8.0,0.0,0.0,,0.0,2.0,,NYG,5.0,@,11.0,5.9,,14.3,,,11.4,83.0,57.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,13.0,16.0,36.0,139.0,0.0,28
,12.0,,,,33.3,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,69.0,12.0,,,80.8,42.0,NWE,,,1.0,"W, 10-7",,,9.0,0.0,0.0,,0.0,0.0,,NYG,3.0,,12.0,3.8,,6.0,,,2.0,46.0,6.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,14.0,13.0,16.0,153.0,0.0,28
,20.0,,,,75.0,2023-12-11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,70.0,13.0,,,85.7,48.0,GNB,,,3.0,"W, 24-22",,,10.0,0.0,0.0,,2.0,0.0,,NYG,4.0,,14.0,4.3,,5.0,,,3.8,86.0,15.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,12.0,14.0,13.0,165.0,0.0,28
,9.0,,,,100.0,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,71.0,14.0,,,50.0,31.0,NOR,,,2.0,"L, 6-24",,,11.0,0.0,0.0,,0.0,0.0,,NYG,2.0,@,15.0,1.6,,11.5,,,11.5,14.0,23.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,20.0,12.0,14.0,185.0,0.0,28
,23.0,,,,50.0,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,72.0,15.0,,,88.9,56.0,PHI,,,3.0,"L, 25-33",,,12.0,0.0,0.0,,1.0,0.0,,NYG,6.0,@,16.0,3.5,,1.3,,,0.7,80.0,4.0,0.0,,,,False,barksa00,2023,barksa00_2023_gamelog.csv,9.0,20.0,12.0,194.0,0.0,28
