AY/A,Ast,Att,Att.1,Cmp,Cmp%,Comb,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,Off%,OffSnp,Opp,QBHits,Rate,Rec,Result,Rk,ST%,STSnp,Sfty,Sk,Sk.1,Solo,TD,TD.1,TD.2,TFL,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,player_id,season,source_file,injured
,,9.0,,,,,75.0,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,74.0,1.0,,62.3,38.0,ATL,,,3.0,"W, 27-26",1.0,0.0,0.0,,,,,0.0,0.0,,,NOR,4.0,@,1.0,4.3,,2.3,1.8,39.0,7.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,,,,,,,2022-09-18,,,,,,,,Inactive,,2.0,,,,TAM,,,,"L, 10-20",1.0,,,,,,,,,,,NOR,,,2.0,,,,,,,,,,kamaal00,2022,kamaal00_2022_gamelog.csv,True
,,15.0,,,,,28.6,2022-09-25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,75.0,3.0,,69.6,48.0,CAR,,,2.0,"L, 14-22",2.0,0.0,0.0,,,,,0.0,0.0,,,NOR,7.0,@,3.0,4.1,,6.0,1.7,61.0,12.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,,,,,,,2022-10-02,,,,,,,,Inactive,,4.0,,,,MIN,,,,"L, 25-28",2.0,,,,,,,,,,,NOR,,,4.0,,,,,,,,,,kamaal00,2022,kamaal00_2022_gamelog.csv,True
,,23.0,,,,,100.0,2022-10-09,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,76.0,5.0,,72.7,56.0,SEA,,,6.0,"W, 39-32",3.0,0.0,0.0,,,,,0.0,0.0,,,NOR,6.0,,5.0,4.5,,15.2,15.2,103.0,91.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,19.0,,,,,66.7,2022-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,77.0,6.0,,69.4,50.0,CIN,,,6.0,"L, 26-30",4.0,0.0,0.0,,,,,0.0,0.0,,,NOR,9.0,,6.0,5.2,,4.2,2.8,99.0,25.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,11.0,,,,,77.8,2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,78.0,7.0,,72.2,52.0,ARI,,,7.0,"L, 34-42",5.0,0.0,0.0,,,,,0.0,0.0,,,NOR,9.0,@,7.0,4.5,,8.0,6.2,49.0,56.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,18.0,,,,,90.0,2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.0,8.0,,71.9,46.0,LVR,,,9.0,"W, 24-0",6.0,0.0,0.0,,,,,1.0,2.0,,,NOR,10.0,,8.0,3.4,,10.7,9.6,62.0,96.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,9.0,,,,,75.0,2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,80.0,9.0,,88.2,45.0,BAL,,,3.0,"L, 13-27",7.0,0.0,0.0,,,,,0.0,0.0,,,NOR,4.0,,9.0,3.3,,10.7,8.0,30.0,32.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
,,8.0,,,,,75.0,2022-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,81.0,10.0,,78.7,37.0,PIT,,,3.0,"L, 10-20",8.0,0.0,0.0,,,,,0.0,0.0,,,NOR,4.0,@,10.0,3.3,,6.3,4.8,26.0,19.0,0.0,,,kamaal00,2022,kamaal00_2022_gamelog.csv,False
