Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,45.0,1.0,1.0,2022-09-11,NYG,@,TEN,"W, 21-20",*,18.0,164.0,1.0,9.1,7.0,6.0,30.0,5.0,0.0,85.7,4.3,1.0,0.0,0.0,0.0,0.0,0.0,50.0,83.3,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
2.0,46.0,2.0,2.0,2022-09-18,NYG,,CAR,"W, 19-16",*,21.0,72.0,0.0,3.4,4.0,3.0,16.0,5.3,0.0,75.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,83.6,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
3.0,47.0,3.0,3.0,2022-09-26,NYG,,DAL,"L, 16-23",*,14.0,81.0,1.0,5.8,4.0,4.0,45.0,11.3,0.0,100.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,66.0,91.7,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
4.0,48.0,4.0,4.0,2022-10-02,NYG,,CHI,"W, 20-12",*,31.0,146.0,0.0,4.7,2.0,2.0,16.0,8.0,0.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,93.8,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
5.0,49.0,5.0,5.0,2022-10-09,NYG,@,GNB,"W, 27-22",*,13.0,70.0,1.0,5.4,6.0,3.0,36.0,12.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,68.9,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
6.0,50.0,6.0,6.0,2022-10-16,NYG,,BAL,"W, 24-20",*,22.0,83.0,1.0,3.8,3.0,3.0,12.0,4.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,87.7,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
7.0,51.0,7.0,7.0,2022-10-23,NYG,@,JAX,"W, 23-17",*,24.0,110.0,0.0,4.6,4.0,4.0,25.0,6.3,0.0,100.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,62.0,80.5,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
8.0,52.0,8.0,8.0,2022-10-30,NYG,@,SEA,"L, 13-27",*,20.0,53.0,1.0,2.7,5.0,3.0,9.0,3.0,0.0,60.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,52.0,80.0,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
9.0,53.0,9.0,10.0,2022-11-13,NYG,,HOU,"W, 24-16",*,35.0,152.0,1.0,4.3,1.0,1.0,8.0,8.0,0.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,79.7,0.0,0.0,2.0,6.7,barksa00,2022,barksa00_2022_gamelog.csv
10.0,54.0,10.0,11.0,2022-11-20,NYG,,DET,"L, 18-31",*,15.0,22.0,0.0,1.5,5.0,2.0,13.0,6.5,0.0,40.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,58.0,76.3,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
11.0,55.0,11.0,12.0,2022-11-24,NYG,@,DAL,"L, 20-28",*,11.0,39.0,1.0,3.5,6.0,4.0,13.0,3.3,0.0,66.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,47.0,73.4,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
12.0,56.0,12.0,13.0,2022-12-04,NYG,,WAS,"T, 20-20 (OT)",*,18.0,63.0,1.0,3.5,5.0,5.0,18.0,3.6,0.0,100.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,58.0,87.9,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
13.0,57.0,13.0,14.0,2022-12-11,NYG,,PHI,"L, 22-48",*,9.0,28.0,0.0,3.1,2.0,2.0,20.0,10.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.3,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
14.0,58.0,14.0,15.0,2022-12-18,NYG,@,WAS,"W, 20-12",*,18.0,87.0,1.0,4.8,8.0,5.0,33.0,6.6,0.0,62.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,54.0,85.7,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
15.0,59.0,15.0,16.0,2022-12-24,NYG,@,MIN,"L, 24-27",*,14.0,84.0,1.0,6.0,10.0,8.0,49.0,6.1,0.0,80.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,63.0,91.3,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
16.0,60.0,16.0,17.0,2023-01-01,NYG,,IND,"W, 38-10",*,12.0,58.0,0.0,4.8,4.0,2.0,-5.0,-2.5,0.0,50.0,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,79.4,0.0,0.0,0.0,0.0,barksa00,2022,barksa00_2022_gamelog.csv
16.0,,17.0,18.0,2023-01-08,NYG,@,PHI,"L, 16-22",Inactive,,,,,,,,,,,,,,,,,,,,,,,,barksa00,2022,barksa00_2022_gamelog.csv
