Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,59.0,1.0,1.0,2022-09-11,CLE,@,CAR,"W, 26-24",*,22,141,0,6.4,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,42,52.5,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
2.0,60.0,2.0,2.0,2022-09-18,CLE,,NYJ,"L, 30-31",*,17,87,3,5.1,3,3,26,8.7,0,100.0,8.7,0,0,0,0,0,0,36,53.7,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
3.0,61.0,3.0,3.0,2022-09-22,CLE,,PIT,"W, 29-17",*,23,113,1,4.9,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,45,62.5,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
4.0,62.0,4.0,4.0,2022-10-02,CLE,@,ATL,"L, 20-23",*,19,118,1,6.2,3,2,9,4.5,0,66.7,3.0,0,0,0,0,0,0,40,54.8,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
5.0,63.0,5.0,5.0,2022-10-09,CLE,,LAC,"L, 28-30",*,17,134,2,7.9,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,35,52.2,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
6.0,64.0,6.0,6.0,2022-10-16,CLE,,NWE,"L, 15-38",*,12,56,0,4.7,2,1,14,14.0,0,50.0,7.0,0,0,0,0,0,0,31,44.3,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
7.0,65.0,7.0,7.0,2022-10-23,CLE,@,BAL,"L, 20-23",*,16,91,1,5.7,3,2,16,8.0,0,66.7,5.3,0,0,0,0,0,0,34,56.7,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
8.0,66.0,8.0,8.0,2022-10-31,CLE,,CIN,"W, 32-13",*,23,101,2,4.4,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,37,51.4,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
9.0,67.0,9.0,10.0,2022-11-13,CLE,@,MIA,"L, 17-39",*,11,63,1,5.7,4,3,18,6.0,0,75.0,4.5,1,1,0,0,0,0,32,47.8,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
10.0,68.0,10.0,11.0,2022-11-20,CLE,@,BUF,"L, 23-31",*,14,19,0,1.4,3,3,48,16.0,0,100.0,16.0,0,0,0,0,0,0,41,54.7,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
11.0,69.0,11.0,12.0,2022-11-27,CLE,,TAM,"W, 23-17 (OT)",*,26,116,1,4.5,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,47,59.5,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
12.0,70.0,12.0,13.0,2022-12-04,CLE,@,HOU,"W, 27-14",*,17,80,0,4.7,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,32,50.8,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
13.0,71.0,13.0,14.0,2022-12-11,CLE,@,CIN,"L, 10-23",*,14,34,0,2.4,3,3,20,6.7,0,100.0,6.7,0,0,0,0,0,0,45,62.5,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
14.0,72.0,14.0,15.0,2022-12-17,CLE,,BAL,"W, 13-3",*,21,99,0,4.7,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
15.0,73.0,15.0,16.0,2022-12-24,CLE,,NOR,"L, 10-17",*,24,92,0,3.8,1,1,10,10.0,0,100.0,10.0,0,0,0,0,0,0,37,52.9,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
16.0,74.0,16.0,17.0,2023-01-01,CLE,@,WAS,"W, 24-10",*,14,104,0,7.4,1,1,12,12.0,0,100.0,12.0,0,0,0,0,0,0,32,56.1,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
17.0,75.0,17.0,18.0,2023-01-08,CLE,@,PIT,"L, 14-28",*,12,77,0,6.4,6,5,45,9.0,1,83.3,7.5,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0,chubni00,2022,chubni00_2022_gamelog.csv
