Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,18.0,1.0,1.0,2022-09-11,PIT,@,CIN,"W, 23-20 (OT)",*,10,23,0,2.3,2,2,3,1.5,1,100.0,1.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,58.7,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
2.0,19.0,2.0,2.0,2022-09-18,PIT,,NWE,"L, 14-17",*,15,49,0,3.3,6,5,40,8.0,0,83.3,6.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,71.2,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
3.0,20.0,3.0,3.0,2022-09-22,PIT,@,CLE,"L, 17-29",*,15,56,1,3.7,3,3,5,1.7,0,100.0,1.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,47,79.7,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
4.0,21.0,4.0,4.0,2022-10-02,PIT,,NYJ,"L, 20-24",*,18,74,0,4.1,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
5.0,22.0,5.0,5.0,2022-10-09,PIT,@,BUF,"L, 3-38",*,11,20,0,1.8,4,3,16,5.3,0,75.0,4.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,49.3,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
6.0,23.0,6.0,6.0,2022-10-16,PIT,,TAM,"W, 20-18",*,14,42,0,3.0,3,2,7,3.5,1,66.7,2.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,68.8,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
7.0,24.0,7.0,7.0,2022-10-23,PIT,@,MIA,"L, 10-16",*,17,65,0,3.8,4,3,15,5.0,0,75.0,3.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,77.3,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
8.0,25.0,8.0,8.0,2022-10-30,PIT,@,PHI,"L, 13-35",*,8,32,0,4.0,6,6,26,4.3,0,100.0,4.3,1,1,100.0,4,0,0,4.0,4.0,83.3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,71.1,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
9.0,26.0,9.0,10.0,2022-11-13,PIT,,NOR,"W, 20-10",*,20,99,0,5.0,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,50,59.5,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
10.0,27.0,10.0,11.0,2022-11-20,PIT,,CIN,"L, 30-37",*,20,90,2,4.5,6,4,26,6.5,0,66.7,4.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,91.8,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
11.0,28.0,11.0,12.0,2022-11-28,PIT,@,IND,"W, 24-17",*,10,35,1,3.5,1,1,4,4.0,0,100.0,4.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,29.0,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
12.0,29.0,12.0,13.0,2022-12-04,PIT,@,ATL,"W, 19-16",*,17,86,0,5.1,1,1,6,6.0,0,100.0,6.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,66.2,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
13.0,30.0,13.0,14.0,2022-12-11,PIT,,BAL,"L, 14-16",*,12,33,1,2.8,3,2,17,8.5,0,66.7,5.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,56.4,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
14.0,31.0,14.0,15.0,2022-12-18,PIT,@,CAR,"W, 24-16",*,24,86,1,3.6,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,66.2,0,0.0,1,4.0,harrna00,2022,harrna00_2022_gamelog.csv
15.0,32.0,15.0,16.0,2022-12-24,PIT,,LVR,"W, 13-10",*,16,53,0,3.3,9,6,42,7.0,0,66.7,4.7,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
16.0,33.0,16.0,17.0,2023-01-01,PIT,@,BAL,"W, 16-13",*,22,111,0,5.0,3,2,12,6.0,1,66.7,4.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,64.3,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
17.0,34.0,17.0,18.0,2023-01-08,PIT,,CLE,"W, 28-14",*,23,80,1,3.5,1,1,10,10.0,0,100.0,10.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,46,63.0,0,0.0,0,0.0,harrna00,2022,harrna00_2022_gamelog.csv
