Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,87.0,1.0,1.0,2022-09-11,TEN,,NYG,"L, 20-21",*,21.0,82.0,0.0,3.9,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,44.0,67.7,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
2.0,88.0,2.0,2.0,2022-09-19,TEN,@,BUF,"L, 7-41",*,13.0,25.0,1.0,1.9,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,46.4,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
3.0,89.0,3.0,3.0,2022-09-25,TEN,,LVR,"W, 24-22",*,20.0,85.0,1.0,4.3,6.0,5.0,58.0,11.6,0.0,83.3,9.7,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,74.1,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
4.0,90.0,4.0,4.0,2022-10-02,TEN,@,IND,"W, 24-17",*,22.0,114.0,1.0,5.2,5.0,3.0,33.0,11.0,0.0,60.0,6.6,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,68.5,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
5.0,91.0,5.0,5.0,2022-10-09,TEN,@,WAS,"W, 21-17",*,28.0,102.0,2.0,3.6,2.0,2.0,30.0,15.0,0.0,100.0,15.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,64.1,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
6.0,92.0,6.0,7.0,2022-10-23,TEN,,IND,"W, 19-10",*,30.0,128.0,0.0,4.3,3.0,3.0,10.0,3.3,0.0,100.0,3.3,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,74.6,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
7.0,93.0,7.0,8.0,2022-10-30,TEN,@,HOU,"W, 17-10",*,32.0,219.0,2.0,6.8,1.0,1.0,9.0,9.0,0.0,100.0,9.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,74.1,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
8.0,94.0,8.0,9.0,2022-11-06,TEN,@,KAN,"L, 17-20 (OT)",*,17.0,115.0,2.0,6.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,58.8,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
9.0,95.0,9.0,10.0,2022-11-13,TEN,,DEN,"W, 17-10",*,19.0,53.0,0.0,2.8,3.0,2.0,14.0,7.0,0.0,66.7,4.7,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,58.1,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
10.0,96.0,10.0,11.0,2022-11-17,TEN,@,GNB,"W, 27-17",*,28.0,87.0,1.0,3.1,2.0,2.0,45.0,22.5,0.0,100.0,22.5,2.0,2.0,100.0,4.0,1.0,0.0,2.0,12.0,118.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,71.2,0.0,0.0,0.0,0.0,henrde00,2022,henrde00_2022_gamelog.csv
