Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,44.0,1.0,1.0,2022-09-11,LVR,@,LAC,"L, 19-24",*,10,57,0,5.7,1,1,16,16.0,0,100.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,60.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
2.0,45.0,2.0,2.0,2022-09-18,LVR,,ARI,"L, 23-29 (OT)",*,19,69,0,3.6,1,1,12,12.0,0,100.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,71.6,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
3.0,46.0,3.0,3.0,2022-09-25,LVR,@,TEN,"L, 22-24",*,13,66,0,5.1,5,5,31,6.2,0,100.0,6.2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,45,64.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
4.0,47.0,4.0,4.0,2022-10-02,LVR,,DEN,"W, 32-23",*,28,144,2,5.1,6,5,31,6.2,0,83.3,5.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,89.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
5.0,48.0,5.0,5.0,2022-10-10,LVR,@,KAN,"L, 29-30",*,21,154,1,7.3,5,5,39,7.8,0,100.0,7.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,81.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
6.0,49.0,6.0,7.0,2022-10-23,LVR,,HOU,"W, 38-20",*,20,143,3,7.2,4,3,12,4.0,0,75.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,80.4,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
7.0,50.0,7.0,8.0,2022-10-30,LVR,@,NOR,"L, 0-24",*,10,43,0,4.3,4,2,11,5.5,0,50.0,2.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,55.2,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
8.0,51.0,8.0,9.0,2022-11-06,LVR,@,JAX,"L, 20-27",*,17,67,0,3.9,3,3,20,6.7,0,100.0,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,69.5,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
9.0,52.0,9.0,10.0,2022-11-13,LVR,,IND,"L, 20-25",*,21,78,1,3.7,8,6,28,4.7,0,75.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
10.0,53.0,10.0,11.0,2022-11-20,LVR,@,DEN,"W, 22-16 (OT)",*,24,109,0,4.5,4,3,51,17.0,0,75.0,12.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,80.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
11.0,54.0,11.0,12.0,2022-11-27,LVR,@,SEA,"W, 40-34 (OT)",*,33,229,2,6.9,7,6,74,12.3,0,85.7,10.6,0.0,2,1,1,0,0,0,0,0,0,0,0,0,61,79.2,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
12.0,55.0,12.0,13.0,2022-12-04,LVR,,LAC,"W, 27-20",*,26,144,1,5.5,2,2,6,3.0,0,100.0,3.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,46,75.4,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
13.0,56.0,13.0,14.0,2022-12-08,LVR,@,LAR,"L, 16-17",*,27,99,1,3.7,2,2,15,7.5,0,100.0,7.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,83.3,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
14.0,57.0,14.0,15.0,2022-12-18,LVR,,NWE,"W, 30-24",*,22,93,0,4.2,3,2,17,8.5,0,66.7,5.7,0.0,0,0,0,0,0,0,1,0,0,1,0,0,51,75.0,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
15.0,58.0,15.0,16.0,2022-12-24,LVR,@,PIT,"L, 10-13",*,15,44,0,2.9,1,1,6,6.0,0,100.0,6.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,43,81.1,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
16.0,59.0,16.0,17.0,2023-01-01,LVR,,SFO,"L, 34-37 (OT)",*,17,69,1,4.1,5,4,26,6.5,0,80.0,5.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,67.1,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
17.0,60.0,17.0,18.0,2023-01-07,LVR,,KAN,"L, 13-31",*,17,45,0,2.6,3,2,5,2.5,0,66.7,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,71.4,0,0.0,0,0.0,jacojo01,2022,jacojo01_2022_gamelog.csv
