Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,70.0,1.0,1.0,2022-09-11,GNB,@,MIN,"L, 7-23",*,5,49,0,9.8,5,3,27,9.0,0,60.0,5.4,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
2.0,71.0,2.0,2.0,2022-09-18,GNB,,CHI,"W, 27-10",*,15,132,1,8.8,3,3,38,12.7,1,100.0,12.7,0,0,0,0,0,0,40,58.8,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
3.0,72.0,3.0,3.0,2022-09-25,GNB,@,TAM,"W, 14-12",*,12,36,0,3.0,4,3,11,3.7,0,75.0,2.8,1,1,0,0,0,0,39,62.9,0,0.0,1,4.0,joneaa00,2022,joneaa00_2022_gamelog.csv
4.0,73.0,4.0,4.0,2022-10-02,GNB,,NWE,"W, 27-24 (OT)",*,16,110,0,6.9,4,3,5,1.7,0,75.0,1.3,0,0,0,0,0,0,45,61.6,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
5.0,74.0,5.0,5.0,2022-10-09,GNB,,NYG,"L, 22-27",*,13,63,0,4.8,3,2,17,8.5,0,66.7,5.7,0,0,0,0,0,0,46,73.0,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
6.0,75.0,6.0,6.0,2022-10-16,GNB,,NYJ,"L, 10-27",*,9,19,0,2.1,4,3,25,8.3,0,75.0,6.3,0,0,0,1,0,0,41,56.2,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
7.0,76.0,7.0,7.0,2022-10-23,GNB,@,WAS,"L, 21-23",*,8,23,0,2.9,10,9,53,5.9,2,90.0,5.3,0,0,0,0,0,0,40,74.1,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
8.0,77.0,8.0,8.0,2022-10-30,GNB,@,BUF,"L, 17-27",*,20,143,0,7.2,5,4,14,3.5,0,80.0,2.8,0,0,0,0,0,0,44,66.7,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
9.0,78.0,9.0,9.0,2022-11-06,GNB,@,DET,"L, 9-15",*,9,25,0,2.8,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,30,40.5,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
10.0,79.0,10.0,10.0,2022-11-13,GNB,,DAL,"W, 31-28 (OT)",*,24,138,1,5.8,2,2,18,9.0,0,100.0,9.0,1,0,0,1,0,0,45,70.3,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
11.0,80.0,11.0,11.0,2022-11-17,GNB,,TEN,"L, 17-27",*,12,40,0,3.3,7,6,20,3.3,0,85.7,2.9,1,0,0,0,0,0,40,65.6,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
12.0,81.0,12.0,12.0,2022-11-27,GNB,@,PHI,"L, 33-40",*,12,43,0,3.6,4,3,56,18.7,1,75.0,14.0,0,0,0,0,0,0,35,71.4,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
13.0,82.0,13.0,13.0,2022-12-04,GNB,@,CHI,"W, 28-19",*,9,26,0,2.9,5,5,24,4.8,0,100.0,4.8,0,0,0,0,0,0,25,37.9,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
14.0,83.0,14.0,15.0,2022-12-19,GNB,,LAR,"W, 24-12",*,17,90,0,5.3,5,4,36,9.0,1,80.0,7.2,1,1,0,0,0,0,40,56.3,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
15.0,84.0,15.0,16.0,2022-12-25,GNB,@,MIA,"W, 26-20",*,6,25,0,4.2,2,2,9,4.5,0,100.0,4.5,0,0,0,0,0,0,25,37.9,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
16.0,85.0,16.0,17.0,2023-01-01,GNB,,MIN,"W, 41-17",*,14,111,0,7.9,3,2,2,1.0,0,66.7,0.7,0,0,0,0,0,0,25,39.7,0,0.0,2,7.1,joneaa00,2022,joneaa00_2022_gamelog.csv
17.0,86.0,17.0,18.0,2023-01-08,GNB,,DET,"L, 16-20",*,12,48,0,4.0,4,3,20,6.7,0,75.0,5.0,1,1,0,0,0,0,33,55.0,0,0.0,0,0.0,joneaa00,2022,joneaa00_2022_gamelog.csv
