Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,74.0,1.0,1.0,2022-09-11,NOR,@,ATL,"W, 27-26",*,9.0,39.0,0.0,4.3,4.0,3.0,7.0,2.3,0.0,75.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,38.0,62.3,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
1.0,,2.0,2.0,2022-09-18,NOR,,TAM,"L, 10-20",Inactive,,,,,,,,,,,,,,,,,,,,,,,,kamaal00,2022,kamaal00_2022_gamelog.csv
2.0,75.0,3.0,3.0,2022-09-25,NOR,@,CAR,"L, 14-22",*,15.0,61.0,0.0,4.1,7.0,2.0,12.0,6.0,0.0,28.6,1.7,1.0,1.0,0.0,0.0,0.0,0.0,48.0,69.6,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
2.0,,4.0,4.0,2022-10-02,NOR,,MIN,"L, 25-28",Inactive,,,,,,,,,,,,,,,,,,,,,,,,kamaal00,2022,kamaal00_2022_gamelog.csv
3.0,76.0,5.0,5.0,2022-10-09,NOR,,SEA,"W, 39-32",*,23.0,103.0,0.0,4.5,6.0,6.0,91.0,15.2,0.0,100.0,15.2,1.0,1.0,0.0,0.0,0.0,0.0,56.0,72.7,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
4.0,77.0,6.0,6.0,2022-10-16,NOR,,CIN,"L, 26-30",*,19.0,99.0,0.0,5.2,9.0,6.0,25.0,4.2,0.0,66.7,2.8,0.0,0.0,0.0,0.0,0.0,0.0,50.0,69.4,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
5.0,78.0,7.0,7.0,2022-10-20,NOR,@,ARI,"L, 34-42",*,11.0,49.0,0.0,4.5,9.0,7.0,56.0,8.0,0.0,77.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,52.0,72.2,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
6.0,79.0,8.0,8.0,2022-10-30,NOR,,LVR,"W, 24-0",,18.0,62.0,1.0,3.4,10.0,9.0,96.0,10.7,2.0,90.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.9,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
7.0,80.0,9.0,9.0,2022-11-07,NOR,,BAL,"L, 13-27",*,9.0,30.0,0.0,3.3,4.0,3.0,32.0,10.7,0.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,88.2,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
8.0,81.0,10.0,10.0,2022-11-13,NOR,@,PIT,"L, 10-20",*,8.0,26.0,0.0,3.3,4.0,3.0,19.0,6.3,0.0,75.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,37.0,78.7,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
9.0,82.0,11.0,11.0,2022-11-20,NOR,,LAR,"W, 27-20",*,12.0,42.0,0.0,3.5,5.0,4.0,47.0,11.8,0.0,80.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,40.0,70.2,0.0,0.0,1.0,3.2,kamaal00,2022,kamaal00_2022_gamelog.csv
10.0,83.0,12.0,12.0,2022-11-27,NOR,@,SFO,"L, 0-13",*,7.0,13.0,0.0,1.9,7.0,6.0,37.0,6.2,0.0,85.7,5.3,2.0,2.0,0.0,0.0,0.0,0.0,38.0,66.7,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
11.0,84.0,13.0,13.0,2022-12-05,NOR,@,TAM,"L, 16-17",*,12.0,26.0,0.0,2.2,3.0,2.0,11.0,5.5,0.0,66.7,3.7,0.0,0.0,0.0,1.0,6.0,0.0,35.0,59.3,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
12.0,85.0,14.0,15.0,2022-12-18,NOR,,ATL,"W, 21-18",*,21.0,91.0,0.0,4.3,2.0,2.0,13.0,6.5,0.0,100.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,34.0,61.8,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
13.0,86.0,15.0,16.0,2022-12-24,NOR,@,CLE,"W, 17-10",,20.0,76.0,1.0,3.8,4.0,2.0,34.0,17.0,0.0,50.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,38.0,70.4,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
14.0,87.0,16.0,17.0,2023-01-01,NOR,@,PHI,"W, 20-10",*,16.0,73.0,0.0,4.6,1.0,1.0,7.0,7.0,0.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,58.0,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
15.0,88.0,17.0,18.0,2023-01-08,NOR,,CAR,"L, 7-10",*,23.0,107.0,0.0,4.7,2.0,1.0,3.0,3.0,0.0,50.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,75.0,0.0,0.0,0.0,0.0,kamaal00,2022,kamaal00_2022_gamelog.csv
