Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,59.0,1.0,1,2022-09-11,CAR,,CLE,"L, 24-26",*,10.0,33.0,1.0,3.3,5.0,4.0,24.0,6.0,0.0,80.0,4.8,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,81.1,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
2.0,60.0,2.0,2,2022-09-18,CAR,@,NYG,"L, 16-19",*,15.0,102.0,0.0,6.8,5.0,4.0,26.0,6.5,0.0,80.0,5.2,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,91.4,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
3.0,61.0,3.0,3,2022-09-25,CAR,,NOR,"W, 22-14",*,25.0,108.0,0.0,4.3,4.0,2.0,7.0,3.5,0.0,50.0,1.8,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,80.3,0.0,0.0,1.0,3.4,mccach01,2022,mccach01_2022_gamelog.csv
4.0,62.0,4.0,4,2022-10-02,CAR,,ARI,"L, 16-26",*,8.0,27.0,0.0,3.4,9.0,9.0,81.0,9.0,1.0,100.0,9.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.5,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
5.0,63.0,5.0,5,2022-10-09,CAR,,SFO,"L, 15-37",*,14.0,54.0,1.0,3.9,12.0,7.0,50.0,7.1,0.0,58.3,4.2,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,85.5,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
6.0,64.0,6.0,6,2022-10-16,CAR,@,LAR,"L, 10-24",*,13.0,69.0,0.0,5.3,8.0,7.0,89.0,12.7,0.0,87.5,11.1,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,86.4,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
7.0,65.0,7.0,7,2022-10-23,SFO,,KAN,"L, 23-44",,8.0,38.0,0.0,4.8,2.0,2.0,24.0,12.0,0.0,100.0,12.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.1,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
8.0,66.0,8.0,8,2022-10-30,SFO,@,LAR,"W, 31-14",*,18.0,94.0,1.0,5.2,9.0,8.0,55.0,6.9,1.0,88.9,6.1,1.0,1.0,100.0,34.0,1.0,0.0,34.0,54.0,158.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,81.1,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
9.0,67.0,9.0,10,2022-11-13,SFO,,LAC,"W, 22-16",*,14.0,38.0,1.0,2.7,6.0,4.0,39.0,9.8,0.0,66.7,6.5,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,64.8,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
10.0,68.0,10.0,11,2022-11-21,SFO,@,ARI,"W, 38-10",*,7.0,39.0,0.0,5.6,7.0,7.0,67.0,9.6,0.0,100.0,9.6,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,65.5,0.0,0.0,0.0,0.0,mccach01,2022,mccach01_2022_gamelog.csv
