Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,67.0,1.0,1.0,2022-09-11,CIN,,PIT,"L, 20-23 (OT)",*,27.0,82.0,0.0,3.0,9.0,7.0,63.0,9.0,0.0,77.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
2.0,68.0,2.0,2.0,2022-09-18,CIN,@,DAL,"L, 17-20",*,19.0,57.0,0.0,3.0,4.0,3.0,26.0,8.7,0.0,75.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,75.7,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
3.0,69.0,3.0,3.0,2022-09-25,CIN,@,NYJ,"W, 27-12",*,12.0,24.0,0.0,2.0,7.0,3.0,14.0,4.7,0.0,42.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,66.2,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
4.0,70.0,4.0,4.0,2022-09-29,CIN,,MIA,"W, 27-15",*,24.0,61.0,1.0,2.5,4.0,4.0,13.0,3.3,0.0,100.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,82.8,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
5.0,71.0,5.0,5.0,2022-10-09,CIN,@,BAL,"L, 17-19",*,14.0,78.0,0.0,5.6,3.0,3.0,10.0,3.3,0.0,100.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,69.8,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
6.0,72.0,6.0,6.0,2022-10-16,CIN,@,NOR,"W, 30-26",*,8.0,45.0,0.0,5.6,6.0,4.0,23.0,5.8,1.0,66.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,71.9,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
7.0,73.0,7.0,7.0,2022-10-23,CIN,,ATL,"W, 35-17",*,17.0,58.0,1.0,3.4,3.0,3.0,33.0,11.0,0.0,100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,72.1,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
8.0,74.0,8.0,8.0,2022-10-31,CIN,@,CLE,"L, 13-32",*,8.0,27.0,0.0,3.4,9.0,7.0,32.0,4.6,0.0,77.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,71.7,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
9.0,75.0,9.0,9.0,2022-11-06,CIN,,CAR,"W, 42-21",*,22.0,153.0,4.0,7.0,5.0,4.0,58.0,14.5,1.0,80.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,64.9,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
10.0,76.0,10.0,11.0,2022-11-20,CIN,@,PIT,"W, 37-30",*,7.0,20.0,0.0,2.9,3.0,3.0,42.0,14.0,0.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.2,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
10.0,,11.0,12.0,2022-11-27,CIN,@,TEN,"W, 20-16",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixojo00,2022,mixojo00_2022_gamelog.csv
10.0,,12.0,13.0,2022-12-04,CIN,,KAN,"W, 27-24",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixojo00,2022,mixojo00_2022_gamelog.csv
11.0,77.0,13.0,14.0,2022-12-11,CIN,,CLE,"W, 23-10",*,14.0,96.0,0.0,6.9,2.0,2.0,10.0,5.0,0.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,58.2,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
12.0,78.0,14.0,15.0,2022-12-18,CIN,@,TAM,"W, 34-23",*,11.0,21.0,0.0,1.9,6.0,5.0,33.0,6.6,0.0,83.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,63.6,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
13.0,79.0,15.0,16.0,2022-12-24,CIN,@,NWE,"W, 22-18",*,16.0,65.0,0.0,4.1,9.0,7.0,43.0,6.1,0.0,77.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,59.0,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
14.0,80.0,16.0,18.0,2023-01-08,CIN,,BAL,"W, 27-16",*,11.0,27.0,1.0,2.5,5.0,5.0,41.0,8.2,0.0,100.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,54.5,0.0,0.0,0.0,0.0,mixojo00,2022,mixojo00_2022_gamelog.csv
