Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,47.0,1.0,1.0,2022-09-11,DAL,,TAM,"L, 3-19",*,6.0,8.0,0.0,1.3,2.0,2.0,14.0,7.0,0.0,100.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.0,55.1,0.0,0.0,2.0,8.3,pollto00,2022,pollto00_2022_gamelog.csv
2.0,48.0,2.0,2.0,2022-09-18,DAL,,CIN,"W, 20-17",,9.0,43.0,1.0,4.8,7.0,4.0,55.0,13.8,0.0,57.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,39.3,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
3.0,49.0,3.0,3.0,2022-09-26,DAL,@,NYG,"W, 23-16",,13.0,105.0,0.0,8.1,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.8,0.0,0.0,1.0,3.4,pollto00,2022,pollto00_2022_gamelog.csv
4.0,50.0,4.0,4.0,2022-10-02,DAL,,WAS,"W, 25-10",,8.0,6.0,0.0,0.8,3.0,1.0,2.0,2.0,0.0,33.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,39.3,0.0,0.0,2.0,6.7,pollto00,2022,pollto00_2022_gamelog.csv
5.0,51.0,5.0,5.0,2022-10-09,DAL,@,LAR,"W, 22-10",,8.0,86.0,1.0,10.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,41.8,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
6.0,52.0,6.0,6.0,2022-10-16,DAL,@,PHI,"L, 17-26",,11.0,44.0,0.0,4.0,3.0,2.0,8.0,4.0,0.0,66.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,40.3,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
7.0,53.0,7.0,7.0,2022-10-23,DAL,,DET,"W, 24-6",,12.0,83.0,0.0,6.9,2.0,2.0,26.0,13.0,0.0,100.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,65.1,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
8.0,54.0,8.0,8.0,2022-10-30,DAL,,CHI,"W, 49-29",*,14.0,131.0,3.0,9.4,1.0,1.0,16.0,16.0,0.0,100.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,53.4,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
9.0,55.0,9.0,10.0,2022-11-13,DAL,@,GNB,"L, 28-31 (OT)",*,22.0,115.0,1.0,5.2,6.0,3.0,13.0,4.3,0.0,50.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,86.7,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
10.0,56.0,10.0,11.0,2022-11-20,DAL,@,MIN,"W, 40-3",,15.0,80.0,0.0,5.3,6.0,6.0,109.0,18.2,2.0,100.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,54.2,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
11.0,57.0,11.0,12.0,2022-11-24,DAL,,NYG,"W, 28-20",,18.0,60.0,0.0,3.3,2.0,2.0,1.0,0.5,0.0,100.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,58.7,0.0,0.0,1.0,4.3,pollto00,2022,pollto00_2022_gamelog.csv
12.0,58.0,12.0,13.0,2022-12-04,DAL,,IND,"W, 54-19",*,12.0,91.0,2.0,7.6,3.0,2.0,15.0,7.5,0.0,66.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,41.2,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
13.0,59.0,13.0,14.0,2022-12-11,DAL,,HOU,"W, 27-23",,10.0,42.0,1.0,4.2,5.0,4.0,20.0,5.0,1.0,80.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,57.7,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
14.0,60.0,14.0,15.0,2022-12-18,DAL,@,JAX,"L, 34-40 (OT)",,19.0,75.0,0.0,3.9,5.0,4.0,31.0,7.8,0.0,80.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,54.7,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
15.0,61.0,15.0,16.0,2022-12-24,DAL,,PHI,"W, 40-34",,9.0,19.0,0.0,2.1,8.0,6.0,61.0,10.2,0.0,75.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,53.4,0.0,0.0,0.0,0.0,pollto00,2022,pollto00_2022_gamelog.csv
