Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,1.0,1.0,1.0,2022-09-08,LAR,,BUF,"L, 10-31",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,willky02,2022,willky02_2022_gamelog.csv
1.0,,2.0,2.0,2022-09-18,LAR,,ATL,"W, 31-27",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,3.0,3.0,2022-09-25,LAR,@,ARI,"W, 20-12",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,4.0,4.0,2022-10-03,LAR,@,SFO,"L, 9-24",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,5.0,5.0,2022-10-09,LAR,,DAL,"L, 10-22",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,6.0,6.0,2022-10-16,LAR,,CAR,"W, 24-10",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,7.0,8.0,2022-10-30,LAR,,SFO,"L, 14-31",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
1.0,,8.0,9.0,2022-11-06,LAR,@,TAM,"L, 13-16",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,willky02,2022,willky02_2022_gamelog.csv
2.0,2.0,9.0,10.0,2022-11-13,LAR,,ARI,"L, 17-27",,1.0,9.0,0.0,9.0,3.0,3.0,30.0,10.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.7,0.0,0.0,5.0,17.9,willky02,2022,willky02_2022_gamelog.csv
3.0,3.0,10.0,11.0,2022-11-20,LAR,@,NOR,"L, 20-27",,7.0,36.0,0.0,5.1,2.0,1.0,8.0,8.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,54.7,0.0,0.0,8.0,25.8,willky02,2022,willky02_2022_gamelog.csv
4.0,4.0,11.0,12.0,2022-11-27,LAR,@,KAN,"L, 10-26",,11.0,35.0,0.0,3.2,3.0,3.0,25.0,8.3,0.0,100.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,70.4,0.0,0.0,5.0,20.8,willky02,2022,willky02_2022_gamelog.csv
5.0,5.0,12.0,13.0,2022-12-04,LAR,,SEA,"L, 23-27",,3.0,9.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,28.1,0.0,0.0,1.0,3.7,willky02,2022,willky02_2022_gamelog.csv
6.0,6.0,13.0,14.0,2022-12-08,LAR,,LVR,"W, 17-16",,3.0,19.0,0.0,6.3,2.0,1.0,10.0,10.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.7,0.0,0.0,3.0,12.0,willky02,2022,willky02_2022_gamelog.csv
7.0,7.0,14.0,15.0,2022-12-19,LAR,@,GNB,"L, 12-24",,2.0,7.0,0.0,3.5,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.9,0.0,0.0,4.0,19.0,willky02,2022,willky02_2022_gamelog.csv
8.0,8.0,15.0,16.0,2022-12-25,LAR,,DEN,"W, 51-14",,6.0,18.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.3,0.0,0.0,2.0,7.7,willky02,2022,willky02_2022_gamelog.csv
9.0,9.0,16.0,17.0,2023-01-01,LAR,@,LAC,"L, 10-31",,2.0,6.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.1,0.0,0.0,8.0,32.0,willky02,2022,willky02_2022_gamelog.csv
10.0,10.0,17.0,18.0,2023-01-08,LAR,@,SEA,"L, 16-19 (OT)",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,48.5,willky02,2022,willky02_2022_gamelog.csv
