AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Ret.1,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Unnamed: 6,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Ret.1,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,player_id,season,source_file,injured
,19.0,0.0,0.0,,66.7,2023-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,1.0,0.0,,79.7,47.0,DEN,,,2.0,"W, 17-16",,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,3.0,@,1.0,2.5,,11.5,,,7.7,48.0,23.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,9.0,0.0,0.0,,83.3,2023-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,62.0,2.0,0.0,,72.5,29.0,BUF,,,5.0,"L, 10-38",,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,6.0,@,2.0,-0.2,,10.2,,,8.5,-2.0,51.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,17.0,0.0,0.0,,60.0,2023-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,63.0,3.0,0.0,,81.9,59.0,PIT,,,3.0,"L, 18-23",,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,5.0,,3.0,3.6,,6.0,,,3.6,62.0,18.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,17.0,0.0,0.0,,72.7,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,64.0,4.0,0.0,,69.9,51.0,LAC,,,8.0,"L, 17-24",,,4.0,0.0,0.0,0.0,1.0,0.0,0.0,LVR,11.0,@,4.0,3.4,,10.1,,,7.4,58.0,81.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,20.0,0.0,0.0,,100.0,2023-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,65.0,5.0,0.0,,84.4,54.0,GNB,,,5.0,"W, 17-13",,,5.0,0.0,0.0,1.0,1.0,0.0,0.0,LVR,5.0,,5.0,3.5,,4.0,,,4.0,69.0,20.0,0.0,4.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,25.0,0.0,0.0,,40.0,2023-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,66.0,6.0,0.0,,81.4,57.0,NWE,,,2.0,"W, 21-17",,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,5.0,,6.0,3.1,,8.0,,,3.2,77.0,16.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,11.0,0.0,0.0,,25.0,2023-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,67.0,7.0,0.0,,66.2,43.0,CHI,,,1.0,"L, 12-30",,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,4.0,@,7.0,3.2,,6.0,,,1.5,35.0,6.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,15.0,0.0,0.0,,50.0,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,68.0,8.0,0.0,,76.1,35.0,DET,,,2.0,"L, 14-26",,,8.0,0.0,0.0,0.0,1.0,0.0,0.0,LVR,4.0,@,8.0,4.1,,13.5,,,6.8,61.0,27.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,26.0,0.0,0.0,,,2023-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,69.0,9.0,0.0,,78.3,47.0,NYG,,,0.0,"W, 30-6",,,9.0,0.0,0.0,0.0,2.0,0.0,0.0,LVR,0.0,,9.0,3.8,,,,,,98.0,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,27.0,0.0,0.0,,100.0,2023-11-12,0.0,0.0,0.0,1.0,0.0,0.0,2.0,*,70.0,10.0,0.0,,82.8,53.0,NYJ,,,2.0,"W, 16-12",,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,2.0,,10.0,4.3,,5.5,,,5.5,116.0,11.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,14.0,0.0,0.0,,100.0,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,71.0,11.0,0.0,,77.0,47.0,MIA,,,1.0,"L, 13-20",,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,1.0,@,11.0,2.8,,12.0,,,12.0,39.0,12.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,20.0,0.0,0.0,,66.7,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,72.0,12.0,0.0,,75.9,44.0,KAN,,,4.0,"L, 17-31",,,12.0,0.0,0.0,0.0,1.0,0.0,0.0,LVR,6.0,,12.0,5.5,,3.8,,,2.5,110.0,15.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,13.0,0.0,0.0,,100.0,2023-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,73.0,13.0,0.0,,63.0,34.0,MIN,,,2.0,"L, 0-3",,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,LVR,2.0,,14.0,2.6,,8.0,,,8.0,34.0,16.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv,False
,,,,,,2023-12-14,,,,,,,,Inactive,,14.0,,,,,LAC,,,,"W, 63-21",,,13.0,,,,,,,LVR,,,15.0,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv,True
,,,,,,2023-12-25,,,,,,,,Inactive,,15.0,,,,,KAN,,,,"W, 20-14",,,13.0,,,,,,,LVR,,@,16.0,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv,True
,,,,,,2023-12-31,,,,,,,,Inactive,,16.0,,,,,IND,,,,"L, 20-23",,,13.0,,,,,,,LVR,,@,17.0,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv,True
,,,,,,2024-01-07,,,,,,,,Inactive,,17.0,,,,,DEN,,,,"W, 27-14",,,13.0,,,,,,,LVR,,,18.0,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv,True
,15.0,,,,0.0,2023-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,1.0,,0.0,65.4,53.0,SEA,0.0,,0.0,"W, 30-13",1.0,1.0,1.0,28.6,8.0,,2.0,0.0,,LAR,2.0,@,1.0,3.5,,,8.0,7.0,1.0,52.0,2.0,8.0,7.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,14.0,,,,60.0,2023-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,12.0,2.0,,0.0,95.0,76.0,SFO,0.0,,6.0,"L, 23-30",0.0,1.0,2.0,14.3,4.0,,1.0,1.0,,LAR,10.0,,2.0,3.7,,8.0,,11.0,4.8,52.0,48.0,0.0,11.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,10.0,,,,28.6,2023-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,13.0,3.0,,0.0,100.0,55.0,CIN,0.0,,2.0,"L, 16-19",0.0,1.0,3.0,19.4,6.0,,0.0,0.0,,LAR,7.0,@,3.0,3.8,,13.5,,3.0,3.9,38.0,27.0,0.0,3.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,25.0,,,,100.0,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,*,14.0,4.0,,0.0,72.0,59.0,IND,0.0,,3.0,"W, 29-23 (OT)",0.0,0.0,4.0,0.0,0.0,,2.0,0.0,,LAR,3.0,@,4.0,4.1,,8.0,,,8.0,103.0,24.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,13.0,,,,100.0,2023-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,15.0,5.0,,0.0,83.9,47.0,PHI,0.0,,2.0,"L, 14-23",0.0,0.0,5.0,0.0,0.0,,0.0,0.0,,LAR,2.0,,5.0,4.1,,2.0,,,2.0,53.0,4.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,20.0,,,,,2023-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,16.0,6.0,,0.0,82.5,47.0,ARI,0.0,,0.0,"W, 26-9",0.0,0.0,6.0,0.0,0.0,,1.0,0.0,,LAR,0.0,,6.0,7.9,,,,,,158.0,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,,,,,,2023-10-22,,,,,,,,Did Not Play,,7.0,,,,,PIT,,,,"L, 17-24",,,6.0,,,,,,,LAR,,,7.0,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv,True
,,,,,,2023-10-29,,,,,,,,Did Not Play,,8.0,,,,,DAL,,,,"L, 20-43",,,6.0,,,,,,,LAR,,@,8.0,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv,True
,,,,,,2023-11-05,,,,,,,,Did Not Play,,9.0,,,,,GNB,,,,"L, 3-20",,,6.0,,,,,,,LAR,,@,9.0,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv,True
,,,,,,2023-11-19,,,,,,,,Did Not Play,,10.0,,,,,SEA,,,,"W, 17-16",,,6.0,,,,,,,LAR,,,11.0,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv,True
,16.0,,,,100.0,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,17.0,11.0,,0.0,61.2,41.0,ARI,0.0,,6.0,"W, 37-14",0.0,0.0,7.0,0.0,0.0,,0.0,2.0,,LAR,6.0,@,12.0,8.9,,10.2,,,10.2,143.0,61.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,21.0,,,,60.0,2023-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,18.0,12.0,,0.0,93.8,60.0,CLE,0.0,,3.0,"W, 36-19",0.0,0.0,8.0,3.0,1.0,,1.0,0.0,,LAR,5.0,,13.0,4.2,,8.0,,,4.8,88.0,24.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,25.0,,,,75.0,2023-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,19.0,13.0,,0.0,89.6,69.0,BAL,0.0,,3.0,"L, 31-37 (OT)",0.0,0.0,9.0,2.7,1.0,,0.0,0.0,,LAR,4.0,@,14.0,4.6,,-0.3,,,-0.3,114.0,-1.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,27.0,,,,71.4,2023-12-17,0.0,0.0,0.0,2.0,0.0,0.0,2.0,*,20.0,14.0,,0.0,77.3,58.0,WAS,0.0,,5.0,"W, 28-20",0.0,0.0,10.0,7.4,2.0,,1.0,0.0,,LAR,7.0,,15.0,5.6,,0.6,,,0.4,152.0,3.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,22.0,,,,,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,21.0,15.0,,0.0,78.6,55.0,NOR,0.0,,0.0,"W, 30-22",0.0,0.0,11.0,8.3,2.0,,1.0,0.0,,LAR,0.0,,16.0,4.7,,,,,,104.0,0.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,20.0,,,,100.0,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,22.0,16.0,,0.0,93.5,58.0,NYG,0.0,,2.0,"W, 26-25",0.0,0.0,12.0,3.3,1.0,,3.0,0.0,,LAR,2.0,@,17.0,4.4,,7.0,,,7.0,87.0,14.0,0.0,0.0,0.0,willky02,2023,willky02_2023_gamelog.csv,False
,,,,,,2024-01-07,,,,,,,,Inactive,,17.0,,,,,SFO,,,,"W, 21-20",,,12.0,,,,,,,LAR,,@,18.0,,,,,,,,,,,,willky02,2023,willky02_2023_gamelog.csv,True
,12.0,,,,75.0,2023-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,61.0,1.0,,,64.3,45.0,DAL,,,3.0,"L, 0-40",,,1.0,0.0,0.0,,0.0,0.0,,NYG,4.0,,1.0,4.3,,4.0,,,3.0,51.0,12.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
,17.0,,,,85.7,2023-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,62.0,2.0,,,97.1,66.0,ARI,,,6.0,"W, 31-28",,,2.0,0.0,0.0,,1.0,1.0,,NYG,7.0,@,2.0,3.7,,4.8,,,4.1,63.0,29.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
,,,,,,2023-09-21,,,,,,,,Inactive,,3.0,,,,,SFO,,,,"L, 12-30",,,2.0,,,,,,,NYG,,@,3.0,,,,,,,,,,,,barksa00,2023,barksa00_2023_gamelog.csv,True
,,,,,,2023-10-02,,,,,,,,Inactive,,4.0,,,,,SEA,,,,"L, 3-24",,,2.0,,,,,,,NYG,,,4.0,,,,,,,,,,,,barksa00,2023,barksa00_2023_gamelog.csv,True
,,,,,,2023-10-08,,,,,,,,Inactive,,5.0,,,,,MIA,,,,"L, 16-31",,,2.0,,,,,,,NYG,,@,5.0,,,,,,,,,,,,barksa00,2023,barksa00_2023_gamelog.csv,True
,24.0,,,,80.0,2023-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,63.0,6.0,,,77.9,60.0,BUF,,,4.0,"L, 9-14",,,3.0,0.0,0.0,,0.0,0.0,,NYG,5.0,@,6.0,3.9,,1.3,,,1.0,93.0,5.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
,21.0,,,,75.0,2023-10-22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,*,64.0,7.0,,,83.8,57.0,WAS,,,3.0,"W, 14-7",,,4.0,0.0,0.0,,0.0,1.0,,NYG,4.0,,7.0,3.7,,13.7,,,10.3,77.0,41.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
,36.0,,,,60.0,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,65.0,8.0,,,89.3,67.0,NYJ,,,3.0,"L, 10-13 (OT)",,,5.0,0.0,0.0,,0.0,0.0,,NYG,5.0,,8.0,3.6,,0.0,,,0.0,128.0,0.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
,16.0,,,,75.0,2023-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,66.0,9.0,,,74.6,47.0,LVR,,,3.0,"L, 6-30",,,6.0,0.0,0.0,,0.0,0.0,,NYG,4.0,@,9.0,5.6,,7.7,,,5.8,90.0,23.0,0.0,,,barksa00,2023,barksa00_2023_gamelog.csv,False
