Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,90.0,1.0,1.0,2023-09-10,LAC,,MIA,"L, 34-36",*,16.0,117.0,1.0,7.3,5.0,4.0,47.0,11.8,0.0,80.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,41.0,50.6,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
1.0,,2.0,2.0,2023-09-17,LAC,@,TEN,"L, 24-27 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2023,ekelau00_2023_gamelog.csv
1.0,,3.0,3.0,2023-09-24,LAC,@,MIN,"W, 28-24",Inactive,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2023,ekelau00_2023_gamelog.csv
1.0,,4.0,4.0,2023-10-01,LAC,,LVR,"W, 24-17",Inactive,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2023,ekelau00_2023_gamelog.csv
2.0,91.0,5.0,6.0,2023-10-16,LAC,,DAL,"L, 17-20",*,14.0,27.0,0.0,1.9,6.0,4.0,35.0,8.8,0.0,66.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0,50.0,68.5,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
3.0,92.0,6.0,7.0,2023-10-22,LAC,@,KAN,"L, 17-31",*,14.0,45.0,0.0,3.2,2.0,1.0,1.0,1.0,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,63.5,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
4.0,93.0,7.0,8.0,2023-10-29,LAC,,CHI,"W, 30-13",*,15.0,29.0,0.0,1.9,8.0,7.0,94.0,13.4,1.0,87.5,11.8,1.0,1.0,0.0,0.0,0.0,0.0,46.0,66.7,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
5.0,94.0,8.0,9.0,2023-11-06,LAC,@,NYJ,"W, 27-6",*,14.0,47.0,2.0,3.4,7.0,2.0,23.0,11.5,0.0,28.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,39.0,67.2,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
6.0,95.0,9.0,10.0,2023-11-12,LAC,,DET,"L, 38-41",*,19.0,67.0,1.0,3.5,7.0,4.0,48.0,12.0,0.0,57.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,50.0,69.4,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
7.0,96.0,10.0,11.0,2023-11-19,LAC,@,GNB,"L, 20-23",*,10.0,64.0,0.0,6.4,3.0,2.0,6.0,3.0,0.0,66.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,70.8,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
8.0,97.0,11.0,12.0,2023-11-26,LAC,,BAL,"L, 10-20",*,10.0,32.0,0.0,3.2,6.0,5.0,32.0,6.4,0.0,83.3,5.3,1.0,1.0,0.0,0.0,0.0,0.0,53.0,80.3,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
9.0,98.0,12.0,13.0,2023-12-03,LAC,@,NWE,"W, 6-0",*,14.0,18.0,0.0,1.3,3.0,2.0,9.0,4.5,0.0,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,57.4,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
10.0,99.0,13.0,14.0,2023-12-10,LAC,,DEN,"L, 7-24",*,10.0,51.0,1.0,5.1,7.0,5.0,49.0,9.8,0.0,71.4,7.0,0.0,0.0,0.0,1.0,-1.0,0.0,49.0,72.1,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
11.0,100.0,14.0,15.0,2023-12-14,LAC,@,LVR,"L, 21-63",*,5.0,9.0,0.0,1.8,6.0,4.0,29.0,7.3,0.0,66.7,4.8,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
12.0,101.0,15.0,16.0,2023-12-23,LAC,,BUF,"L, 22-24",*,15.0,65.0,0.0,4.3,4.0,3.0,21.0,7.0,0.0,75.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,64.3,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
13.0,102.0,16.0,17.0,2023-12-31,LAC,@,DEN,"L, 9-16",*,13.0,46.0,0.0,3.5,2.0,1.0,4.0,4.0,0.0,50.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,72.3,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
14.0,103.0,17.0,18.0,2024-01-07,LAC,,KAN,"L, 12-13",*,10.0,11.0,0.0,1.1,8.0,7.0,38.0,5.4,0.0,87.5,4.8,1.0,0.0,0.0,0.0,0.0,0.0,63.0,75.9,0.0,0.0,0.0,0.0,ekelau00,2023,ekelau00_2023_gamelog.csv
