Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,61.0,1.0,1.0,2023-09-10,LVR,@,DEN,"W, 17-16",*,19.0,48.0,0.0,2.5,3.0,2.0,23.0,11.5,0.0,66.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,79.7,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
2.0,62.0,2.0,2.0,2023-09-17,LVR,@,BUF,"L, 10-38",*,9.0,-2.0,0.0,-0.2,6.0,5.0,51.0,10.2,0.0,83.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,72.5,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
3.0,63.0,3.0,3.0,2023-09-24,LVR,,PIT,"L, 18-23",*,17.0,62.0,0.0,3.6,5.0,3.0,18.0,6.0,0.0,60.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,81.9,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
4.0,64.0,4.0,4.0,2023-10-01,LVR,@,LAC,"L, 17-24",*,17.0,58.0,1.0,3.4,11.0,8.0,81.0,10.1,0.0,72.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,69.9,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
5.0,65.0,5.0,5.0,2023-10-09,LVR,,GNB,"W, 17-13",*,20.0,69.0,1.0,3.5,5.0,5.0,20.0,4.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,84.4,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
6.0,66.0,6.0,6.0,2023-10-15,LVR,,NWE,"W, 21-17",*,25.0,77.0,0.0,3.1,5.0,2.0,16.0,8.0,0.0,40.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,81.4,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
7.0,67.0,7.0,7.0,2023-10-22,LVR,@,CHI,"L, 12-30",*,11.0,35.0,0.0,3.2,4.0,1.0,6.0,6.0,0.0,25.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,66.2,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
8.0,68.0,8.0,8.0,2023-10-30,LVR,@,DET,"L, 14-26",*,15.0,61.0,1.0,4.1,4.0,2.0,27.0,13.5,0.0,50.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,76.1,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
9.0,69.0,9.0,9.0,2023-11-05,LVR,,NYG,"W, 30-6",*,26.0,98.0,2.0,3.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,78.3,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
10.0,70.0,10.0,10.0,2023-11-12,LVR,,NYJ,"W, 16-12",*,27.0,116.0,0.0,4.3,2.0,2.0,11.0,5.5,0.0,100.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,53.0,82.8,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
11.0,71.0,11.0,11.0,2023-11-19,LVR,@,MIA,"L, 13-20",*,14.0,39.0,0.0,2.8,1.0,1.0,12.0,12.0,0.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,77.0,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
12.0,72.0,12.0,12.0,2023-11-26,LVR,,KAN,"L, 17-31",*,20.0,110.0,1.0,5.5,6.0,4.0,15.0,3.8,0.0,66.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,75.9,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
13.0,73.0,13.0,14.0,2023-12-10,LVR,,MIN,"L, 0-3",*,13.0,34.0,0.0,2.6,2.0,2.0,16.0,8.0,0.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,63.0,0.0,0.0,0.0,0.0,jacojo01,2023,jacojo01_2023_gamelog.csv
13.0,,14.0,15.0,2023-12-14,LVR,,LAC,"W, 63-21",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv
13.0,,15.0,16.0,2023-12-25,LVR,@,KAN,"W, 20-14",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv
13.0,,16.0,17.0,2023-12-31,LVR,@,IND,"L, 20-23",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv
13.0,,17.0,18.0,2024-01-07,LVR,,DEN,"W, 27-14",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacojo01,2023,jacojo01_2023_gamelog.csv
