Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,76.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",*,22.0,152.0,1.0,6.9,5.0,3.0,17.0,5.7,0.0,60.0,3.4,1.0,0.0,0.0,1.0,0.0,0.0,58.0,85.3,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
2.0,77.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",*,20.0,116.0,1.0,5.8,3.0,3.0,19.0,6.3,0.0,100.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,57.0,100.0,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
3.0,78.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",*,18.0,85.0,1.0,4.7,5.0,5.0,34.0,6.8,0.0,100.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.4,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
4.0,79.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",*,20.0,106.0,3.0,5.3,8.0,7.0,71.0,10.1,1.0,87.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,47.0,85.5,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
5.0,80.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",*,19.0,51.0,1.0,2.7,3.0,2.0,27.0,13.5,0.0,66.7,9.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,73.2,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
6.0,81.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",*,11.0,43.0,0.0,3.9,3.0,3.0,9.0,3.0,1.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,58.1,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
7.0,82.0,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",*,15.0,45.0,1.0,3.0,3.0,3.0,51.0,17.0,1.0,100.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,100.0,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
8.0,83.0,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",*,12.0,54.0,1.0,4.5,7.0,6.0,64.0,10.7,1.0,85.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,57.0,96.6,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
9.0,84.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",*,16.0,95.0,0.0,5.9,10.0,6.0,47.0,7.8,0.0,60.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,47.0,75.8,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
10.0,85.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",*,21.0,78.0,0.0,3.7,5.0,5.0,25.0,5.0,1.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,86.7,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
11.0,86.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",*,19.0,114.0,2.0,6.0,6.0,5.0,25.0,5.0,0.0,83.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,51.0,77.3,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
12.0,87.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",*,17.0,93.0,1.0,5.5,4.0,3.0,40.0,13.3,0.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,88.1,0.0,0.0,1.0,3.8,mccach01,2023,mccach01_2023_gamelog.csv
13.0,88.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",*,16.0,145.0,0.0,9.1,1.0,1.0,8.0,8.0,0.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,88.9,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
14.0,89.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",*,18.0,115.0,1.0,6.4,5.0,5.0,72.0,14.4,2.0,100.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,43.0,76.8,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
15.0,90.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",*,14.0,103.0,1.0,7.4,10.0,6.0,28.0,4.7,0.0,60.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
16.0,91.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",*,14.0,64.0,0.0,4.6,5.0,4.0,27.0,6.8,0.0,80.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,38.0,54.3,0.0,0.0,0.0,0.0,mccach01,2023,mccach01_2023_gamelog.csv
16.0,,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",Inactive,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2023,mccach01_2023_gamelog.csv
