Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,81.0,1.0,1.0,2023-09-10,CIN,@,CLE,"L, 3-24",*,13,56,0,4.3,5,3,17,5.7,0,60.0,3.4,35,62.5,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
2.0,82.0,2.0,2.0,2023-09-17,CIN,,BAL,"L, 24-27",*,13,59,0,4.5,5,4,36,9.0,0,80.0,7.2,47,78.3,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
3.0,83.0,3.0,3.0,2023-09-25,CIN,,LAR,"W, 19-16",*,19,65,1,3.4,2,1,5,5.0,0,50.0,2.5,58,75.3,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
4.0,84.0,4.0,4.0,2023-10-01,CIN,@,TEN,"L, 3-27",*,14,67,0,4.8,1,1,9,9.0,0,100.0,9.0,42,79.2,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
5.0,85.0,5.0,5.0,2023-10-08,CIN,@,ARI,"W, 34-20",*,25,81,0,3.2,4,4,13,3.3,0,100.0,3.3,63,76.8,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
6.0,86.0,6.0,6.0,2023-10-15,CIN,,SEA,"W, 17-13",*,12,38,0,3.2,4,3,24,8.0,0,75.0,6.0,38,70.4,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
7.0,87.0,7.0,8.0,2023-10-29,CIN,@,SFO,"W, 31-17",*,16,87,1,5.4,3,3,23,7.7,0,100.0,7.7,47,74.6,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
8.0,88.0,8.0,9.0,2023-11-05,CIN,,BUF,"W, 24-18",*,14,37,1,2.6,6,5,31,6.2,0,83.3,5.2,51,72.9,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
9.0,89.0,9.0,10.0,2023-11-12,CIN,,HOU,"L, 27-30",*,11,46,1,4.2,3,2,-1,-0.5,0,66.7,-0.3,47,73.4,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
10.0,90.0,10.0,11.0,2023-11-16,CIN,@,BAL,"L, 20-34",*,16,69,0,4.3,5,5,31,6.2,1,100.0,6.2,39,63.9,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
11.0,91.0,11.0,12.0,2023-11-26,CIN,,PIT,"L, 10-16",*,8,16,0,2.0,2,2,44,22.0,0,100.0,22.0,28,65.1,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
12.0,92.0,12.0,13.0,2023-12-04,CIN,@,JAX,"W, 34-31 (OT)",*,19,68,2,3.6,7,6,49,8.2,0,85.7,7.0,52,71.2,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
13.0,93.0,13.0,14.0,2023-12-10,CIN,,IND,"W, 34-14",*,21,79,1,3.8,4,3,46,15.3,0,75.0,11.5,38,63.3,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
14.0,94.0,14.0,15.0,2023-12-16,CIN,,MIN,"W, 27-24 (OT)",*,10,47,1,4.7,3,3,14,4.7,0,100.0,4.7,49,70.0,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
15.0,95.0,15.0,16.0,2023-12-23,CIN,@,PIT,"L, 11-34",*,11,43,0,3.9,4,2,7,3.5,0,50.0,1.8,38,59.4,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
16.0,96.0,16.0,17.0,2023-12-31,CIN,@,KAN,"L, 17-25",*,21,65,0,3.1,4,4,22,5.5,1,100.0,5.5,45,60.8,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
17.0,97.0,17.0,18.0,2024-01-07,CIN,,CLE,"W, 31-14",*,14,111,1,7.9,2,1,6,6.0,1,50.0,3.0,35,54.7,0,0.0,0,0.0,mixojo00,2023,mixojo00_2023_gamelog.csv
