Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,63.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",*,14,70,2,5.0,3,2,12,6.0,0,66.7,4.0,1,0,0,0,0,0,37,63.8,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
2.0,64.0,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",*,25,72,0,2.9,8,7,37,5.3,0,87.5,4.6,0,0,0,0,0,0,56,64.4,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
3.0,65.0,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",*,23,122,0,5.3,3,3,-1,-0.3,0,100.0,-0.3,0,0,0,0,0,0,70,86.4,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
4.0,66.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",*,11,47,0,4.3,3,3,13,4.3,0,100.0,4.3,0,0,0,0,0,0,37,52.9,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
5.0,67.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",*,8,29,0,3.6,5,4,35,8.8,0,80.0,7.0,1,1,0,0,0,0,34,69.4,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
6.0,68.0,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",*,15,30,0,2.0,7,6,80,13.3,0,85.7,11.4,0,0,0,0,0,0,51,79.7,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
7.0,69.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",*,12,53,0,4.4,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,42,64.6,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
8.0,70.0,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",*,12,51,0,4.3,5,3,12,4.0,0,60.0,2.4,0,0,0,0,0,0,58,77.3,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
9.0,71.0,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",*,15,55,0,3.7,0,0,0,,0,,,0,0,0,0,0,0,54,69.2,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
10.0,72.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",*,12,61,1,5.1,5,4,19,4.8,0,80.0,3.8,0,0,0,0,0,0,45,62.5,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
11.0,73.0,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",*,13,79,1,6.1,6,6,24,4.0,0,100.0,4.0,1,0,0,0,0,0,41,75.9,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
12.0,74.0,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",*,20,68,1,3.4,4,3,15,5.0,0,75.0,3.8,0,0,0,0,0,0,69,77.5,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
13.0,75.0,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",*,16,59,0,3.7,8,7,37,5.3,0,87.5,4.6,0,0,0,0,0,0,59,72.0,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
14.0,76.0,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",*,11,52,0,4.7,3,2,5,2.5,0,66.7,1.7,0,0,0,0,0,0,41,71.9,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
15.0,77.0,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",*,12,38,0,3.2,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
16.0,78.0,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",*,16,49,0,3.1,3,1,0,0.0,0,33.3,0.0,0,0,0,0,0,0,55,84.6,0,0.0,1,3.8,pollto00,2023,pollto00_2023_gamelog.csv
17.0,79.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",*,17,70,1,4.1,2,2,16,8.0,0,100.0,8.0,0,0,0,0,0,0,41,56.9,0,0.0,0,0.0,pollto00,2023,pollto00_2023_gamelog.csv
