Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,1.0,1.0,1.0,2023-09-10,ATL,,CAR,"W, 24-10",*,10,56,0,5.6,6,6,27,4.5,1,100.0,4.5,0,0,0,,0,0,0,0,0,0,33,63.5,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
2.0,2.0,2.0,2.0,2023-09-17,ATL,,GNB,"W, 25-24",*,19,124,0,6.5,5,4,48,12.0,0,80.0,9.6,0,0,0,,0,0,0,0,0,0,59,72.0,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
3.0,3.0,3.0,3.0,2023-09-24,ATL,@,DET,"L, 6-20",*,10,33,0,3.3,6,4,27,6.8,0,66.7,4.5,0,0,0,,0,0,0,0,0,0,54,80.6,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
4.0,4.0,4.0,4.0,2023-10-01,ATL,@,JAX,"L, 7-23",*,14,105,0,7.5,5,5,32,6.4,0,100.0,6.4,0,0,0,,0,0,0,0,0,0,44,75.9,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
5.0,5.0,5.0,5.0,2023-10-08,ATL,,HOU,"W, 21-19",*,14,46,0,3.3,2,2,12,6.0,1,100.0,6.0,0,0,0,,1,1,0,0,0,0,47,61.0,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
6.0,6.0,6.0,6.0,2023-10-15,ATL,,WAS,"L, 16-24",*,13,37,0,2.8,8,5,43,8.6,0,62.5,5.4,0,0,0,,0,0,0,0,0,0,64,77.1,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
7.0,7.0,7.0,7.0,2023-10-22,ATL,@,TAM,"W, 16-13",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,11,16.9,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
8.0,8.0,8.0,8.0,2023-10-29,ATL,@,TEN,"L, 23-28",*,11,62,1,5.6,5,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
9.0,9.0,9.0,9.0,2023-11-05,ATL,,MIN,"L, 28-31",*,11,51,0,4.6,4,2,8,4.0,0,50.0,2.0,0,0,0,,1,1,0,0,0,0,42,60.9,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
10.0,10.0,10.0,10.0,2023-11-12,ATL,@,ARI,"L, 23-25",*,22,95,1,4.3,2,1,11,11.0,0,50.0,5.5,1,8,0,8.0,0,0,0,0,0,0,53,74.6,0,0.0,1,3.8,robibi01,2023,robibi01_2023_gamelog.csv
11.0,11.0,11.0,12.0,2023-11-26,ATL,,NOR,"W, 24-15",*,16,91,1,5.7,6,3,32,10.7,1,50.0,5.3,0,0,0,,0,0,0,0,0,0,39,62.9,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
12.0,12.0,12.0,13.0,2023-12-03,ATL,@,NYJ,"W, 13-8",*,18,53,0,2.9,5,3,26,8.7,0,60.0,5.2,0,0,0,,0,0,0,0,0,0,51,75.0,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
13.0,13.0,13.0,14.0,2023-12-10,ATL,,TAM,"L, 25-29",*,10,34,1,3.4,7,5,54,10.8,0,71.4,7.7,0,0,0,,0,0,0,0,0,0,56,77.8,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
14.0,14.0,14.0,15.0,2023-12-17,ATL,@,CAR,"L, 7-9",*,7,11,0,1.6,3,1,3,3.0,0,33.3,1.0,0,0,0,,1,1,0,0,0,0,30,57.7,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
15.0,15.0,15.0,16.0,2023-12-24,ATL,,IND,"W, 29-10",*,12,72,0,6.0,10,7,50,7.1,0,70.0,5.0,0,0,0,,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
16.0,16.0,16.0,17.0,2023-12-31,ATL,@,CHI,"L, 17-37",*,15,75,0,5.0,4,3,11,3.7,0,75.0,2.8,0,0,0,,1,0,0,0,-7,0,45,76.3,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
17.0,17.0,17.0,18.0,2024-01-07,ATL,@,NOR,"L, 17-48",*,11,28,0,2.5,8,7,103,14.7,1,87.5,12.9,0,0,0,,0,0,0,0,0,0,45,73.8,0,0.0,0,0.0,robibi01,2023,robibi01_2023_gamelog.csv
