Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,44.0,5.0,5.0,2023-10-08,IND,,TEN,"W, 23-16",,6.0,18.0,0.0,3.0,1.0,1.0,16.0,16.0,0.0,100.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.2,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
2.0,45.0,6.0,6.0,2023-10-15,IND,@,JAX,"L, 20-37",,8.0,19.0,0.0,2.4,6.0,5.0,46.0,9.2,0.0,83.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,33.0,42.3,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
3.0,46.0,7.0,7.0,2023-10-22,IND,,CLE,"L, 38-39",*,18.0,75.0,1.0,4.2,4.0,3.0,45.0,15.0,0.0,75.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
4.0,47.0,8.0,8.0,2023-10-29,IND,,NOR,"L, 27-38",*,12.0,95.0,0.0,7.9,2.0,1.0,2.0,2.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,60.6,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
5.0,48.0,9.0,9.0,2023-11-05,IND,@,CAR,"W, 27-13",*,18.0,47.0,0.0,2.6,5.0,5.0,22.0,4.4,1.0,100.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,45.0,73.8,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
6.0,49.0,10.0,10.0,2023-11-12,IND,@,NWE,"W, 10-6",*,23.0,69.0,1.0,3.0,1.0,1.0,6.0,6.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,87.7,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
7.0,50.0,11.0,12.0,2023-11-26,IND,,TAM,"W, 27-20",*,15.0,91.0,2.0,6.1,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,57.5,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
7.0,,12.0,13.0,2023-12-03,IND,@,TEN,"W, 31-28 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,tayljo02,2023,tayljo02_2023_gamelog.csv
7.0,,13.0,14.0,2023-12-10,IND,@,CIN,"L, 14-34",Inactive,,,,,,,,,,,,,,,,,,,,,,,,tayljo02,2023,tayljo02_2023_gamelog.csv
7.0,,14.0,15.0,2023-12-16,IND,,PIT,"W, 30-13",Inactive,,,,,,,,,,,,,,,,,,,,,,,,tayljo02,2023,tayljo02_2023_gamelog.csv
8.0,51.0,15.0,16.0,2023-12-24,IND,@,ATL,"L, 10-29",,18.0,43.0,1.0,2.4,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,59.2,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
9.0,52.0,16.0,17.0,2023-12-31,IND,,LVR,"W, 23-20",*,21.0,96.0,1.0,4.6,1.0,1.0,8.0,8.0,0.0,100.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,62.5,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
10.0,53.0,17.0,18.0,2024-01-06,IND,,HOU,"L, 19-23",*,30.0,188.0,1.0,6.3,2.0,2.0,8.0,4.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,77.3,0.0,0.0,0.0,0.0,tayljo02,2023,tayljo02_2023_gamelog.csv
