player,player_id,season,age,games_played,touches_per_game,yards_per_touch,injury_history,position,injury,injury_risk_score
William Williams,Player000,2021,30,9,16.194855717639218,4.42535293534637,0,RB,0,0.2982257662142321
David Jones,Player001,2021,32,15,21.166830470175327,4.214013564563872,0,RB,1,0.22514242637129672
Michael Williams,Player002,2021,23,18,8.49652483612388,5.102432294034256,0,RB,0,0.1001621654196522
William Davis,Player003,2021,27,17,6.391548916760685,3.907315241392567,0,RB,1,0.049729616957949085
Joseph Miller,Player004,2021,22,13,22.675957564687277,3.9542261519178425,0,RB,1,0.19402607985369602
Robert Rodriguez,Player005,2021,27,18,12.189814435093536,4.50111723427623,0,RB,0,0.07286177414575211
John Rodriguez,Player006,2021,25,10,20.3757957579442,4.603866471966994,1,RB,0,0.4662236867613252
Michael Brown,Player007,2021,24,15,18.036780429870145,5.299471077108361,0,RB,0,0.09168198741953971
Thomas Jones,Player008,2021,24,12,15.799400993002536,4.086844605806486,0,RB,1,0.09294223301700744
Thomas Johnson,Player009,2021,24,12,12.55252927400315,3.014862371974789,0,RB,1,0.19971719058403625
Robert Williams,Player010,2021,27,11,22.696779469958265,4.898352760669737,0,RB,0,-0.03688930212644495
Joseph Brown,Player011,2021,25,14,9.191922805922333,4.543881748742329,1,RB,1,0.5529025197335486
Robert Brown,Player012,2021,32,16,13.98280952267924,5.228790092673801,0,RB,0,0.18005358717465603
Robert Johnson,Player013,2021,23,7,15.452409514763719,3.9689219505651203,0,RB,0,-0.01068363827297944
William Martinez,Player014,2021,24,14,7.593361188641099,4.711426335799931,0,RB,1,-0.0535095059244857
Robert Williams,Player015,2021,23,6,17.434711843676315,4.707759841911517,0,RB,0,0.23224094248826482
David Rodriguez,Player016,2021,30,17,9.039562984203208,4.3414100329894145,1,RB,0,0.43832693721073757
John Martinez,Player017,2021,24,14,18.38807489144083,3.8187678664497366,0,RB,0,0.0036503547316779905
Robert Garcia,Player018,2021,27,18,15.862740893918982,5.1516936782513305,1,RB,0,0.5232039485221995
John Jones,Player019,2021,28,11,18.240287702927855,3.659563157866677,0,RB,0,0.15077359561323786
Richard Garcia,Player020,2021,29,16,7.9550304829110425,4.464530414917396,0,RB,0,0.25145841320802137
David Hernandez,Player021,2021,34,16,13.772362076483128,5.7210880930455925,0,RB,0,0.30860022119783836
James Jones,Player022,2021,25,18,9.450048535569005,4.977615868914006,1,RB,1,0.4293046391543249
Christopher Garcia,Player023,2021,24,15,25.121689228376187,6.07151093571039,0,RB,0,0.1411719328776739
Michael Brown,Player024,2021,25,18,6.84822058412068,3.6453384150314134,0,RB,1,0.09598109634768708
Joseph Miller,Player025,2021,31,14,17.054209835648443,5.054734188037426,0,RB,0,0.3112586141851719
William Brown,Player026,2021,24,8,15.081268714668283,3.361079851073576,0,RB,0,0.3845319156536234
Christopher Williams,Player027,2021,24,15,9.994213086707523,4.581245570177485,0,RB,1,-0.028279975796946077
Richard Martinez,Player028,2021,24,16,15.37361010517475,4.828706301836362,1,RB,0,0.36641057636564367
Michael Miller,Player029,2021,26,18,9.369784541198335,3.5952388968623743,1,RB,1,0.348490887592359
James Martinez,Player030,2021,22,11,4.011188032461408,4.150339222774095,0,RB,1,0.23277852529545295
David Hernandez,Player031,2021,21,13,20.12102379738363,5.6095417082014665,1,RB,1,0.7720000015362677
Joseph Hernandez,Player032,2021,24,14,15.256658911048739,5.670598829028576,0,RB,0,0.10207580779370173
Michael Williams,Player033,2021,31,16,18.71590092688018,5.944571881921808,0,RB,0,0.1758983261572244
Richard Brown,Player034,2021,31,17,20.15473729348154,4.850172668708396,1,RB,0,0.6812303633393271
Michael Rodriguez,Player035,2021,31,18,18.82177603197749,3.9693583884117194,0,RB,1,0.3145143367896204
David Hernandez,Player036,2021,34,13,18.08283159512806,4.722643005298488,0,RB,0,0.5100821431742261
Michael Hernandez,Player037,2021,28,14,15.82459251508766,4.089099567661254,0,RB,1,0.14621221685423355
William Miller,Player038,2021,25,18,19.26937426538986,4.569920214436382,0,RB,0,-0.054299058140115944
William Rodriguez,Player039,2021,29,14,18.818735959136568,4.023772024509949,0,RB,0,0.2748697910123361
James Martinez,Player040,2021,26,9,19.463174490601357,4.936943941506985,0,RB,0,0.032659374683528974
James Johnson,Player041,2021,23,12,19.114553148080372,4.611796507636816,0,RB,1,-0.018437715951391404
David Johnson,Player042,2021,27,17,6.31062797405025,3.5749765678190792,1,RB,0,0.2793803151110239
Joseph Miller,Player043,2021,29,14,13.31561425963301,4.015054935300387,0,RB,0,0.24656135423879288
David Martinez,Player044,2021,28,7,30.204927319374917,5.2970294378899645,1,RB,1,0.6556867336712842
Richard Rodriguez,Player045,2021,22,13,17.491544018401147,5.636166638367477,1,RB,1,0.6781137442569112
Joseph Jones,Player046,2021,25,14,17.071748586206844,6.2544093270070436,0,RB,1,0.0014658859282438985
Richard Miller,Player047,2021,29,5,7.953587829105658,2.9707064573443533,0,RB,1,0.21751078906126592
Christopher Brown,Player048,2021,23,5,21.488255284851963,4.75329306209396,1,RB,1,0.31615113690079527
Michael Johnson,Player049,2021,32,12,22.915476472579208,3.9050010853458015,1,RB,0,0.8681393417393103
John Davis,Player050,2021,24,11,1.62231847833722,4.11640675219546,0,RB,0,0.06870162774406953
William Garcia,Player051,2021,25,15,2.498911578837376,4.401540249865316,1,RB,0,0.42852607192483017
William Martinez,Player052,2021,25,7,8.322996072169833,3.127461965743841,1,RB,1,0.3850784533242281
