Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,104,1,1,2024-09-08,WAS,@,TAM,"L, 20-37",,2,10,0,5.0,4,4,52,13.0,0,100.0,13.0,2,48,0,24.0,0,0,0,0,0,0,31,52.5,0,0.0,8,29.6,ekelau00,2024,ekelau00_2024_gamelog.csv
2,105,2,2,2024-09-15,WAS,,NYG,"W, 21-18",,8,38,0,4.8,3,3,47,15.7,0,100.0,15.7,1,35,0,35.0,0,0,0,0,0,0,31,43.1,0,0.0,4,19.0,ekelau00,2024,ekelau00_2024_gamelog.csv
3,106,3,3,2024-09-23,WAS,@,CIN,"W, 38-33",*,3,35,1,11.7,2,2,22,11.0,0,100.0,11.0,1,62,0,62.0,0,0,0,0,0,0,13,22.0,0,0.0,4,15.4,ekelau00,2024,ekelau00_2024_gamelog.csv
3,,4,4,2024-09-29,WAS,@,ARI,"W, 42-14",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2024,ekelau00_2024_gamelog.csv
4,107,5,5,2024-10-06,WAS,,CLE,"W, 34-13",,6,67,0,11.2,2,2,30,15.0,0,100.0,15.0,2,46,0,23.0,1,0,0,0,0,0,33,49.3,0,0.0,4,12.9,ekelau00,2024,ekelau00_2024_gamelog.csv
5,108,6,6,2024-10-13,WAS,@,BAL,"L, 23-30",*,9,21,0,2.3,5,4,47,11.8,0,80.0,9.4,1,32,0,32.0,0,0,0,0,0,0,44,74.6,0,0.0,7,24.1,ekelau00,2024,ekelau00_2024_gamelog.csv
6,109,7,7,2024-10-20,WAS,,CAR,"W, 40-7",*,4,17,0,4.3,2,2,3,1.5,0,100.0,1.5,1,34,0,34.0,0,0,0,0,0,0,28,40.6,0,0.0,2,7.7,ekelau00,2024,ekelau00_2024_gamelog.csv
7,110,8,8,2024-10-27,WAS,,CHI,"W, 18-15",,7,52,0,7.4,3,2,6,3.0,0,66.7,2.0,1,24,0,24.0,0,0,0,0,0,0,42,56.8,0,0.0,3,11.5,ekelau00,2024,ekelau00_2024_gamelog.csv
8,111,9,9,2024-11-03,WAS,@,NYG,"W, 27-22",*,11,42,1,3.8,4,3,41,13.7,0,75.0,10.3,1,35,0,35.0,0,0,0,0,0,0,29,46.8,0,0.0,5,22.7,ekelau00,2024,ekelau00_2024_gamelog.csv
9,112,10,10,2024-11-10,WAS,,PIT,"L, 27-28",*,13,44,2,3.4,2,1,7,7.0,0,50.0,3.5,4,118,0,29.5,0,0,0,0,0,0,45,70.3,0,0.0,5,15.6,ekelau00,2024,ekelau00_2024_gamelog.csv
10,113,11,11,2024-11-14,WAS,@,PHI,"L, 18-26",*,2,7,0,3.5,9,8,89,11.1,0,88.9,9.9,2,59,0,29.5,1,0,0,0,0,0,34,51.5,0,0.0,6,22.2,ekelau00,2024,ekelau00_2024_gamelog.csv
11,114,12,12,2024-11-24,WAS,,DAL,"L, 26-34",,9,22,0,2.4,3,2,2,1.0,0,66.7,0.7,3,101,0,33.7,1,0,0,0,0,0,44,62.9,0,0.0,7,18.4,ekelau00,2024,ekelau00_2024_gamelog.csv
11,,13,13,2024-12-01,WAS,,TEN,"W, 42-19",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2024,ekelau00_2024_gamelog.csv
11,,14,15,2024-12-15,WAS,@,NOR,"W, 20-19",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2024,ekelau00_2024_gamelog.csv
11,,15,16,2024-12-22,WAS,,PHI,"W, 36-33",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2024,ekelau00_2024_gamelog.csv
11,,16,17,2024-12-29,WAS,,ATL,"W, 30-24 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekelau00,2024,ekelau00_2024_gamelog.csv
12,115,17,18,2025-01-05,WAS,@,DAL,"W, 23-19",,3,12,0,4.0,2,2,20,10.0,0,100.0,10.0,0,0,0,,0,0,0,0,0,0,35,60.3,0,0.0,1,3.6,ekelau00,2024,ekelau00_2024_gamelog.csv
,,,,,,,,7-5,,77,367,4,4.8,41,35,366,10.5,0,85.4,8.9,19,594,0,31.3,3,0,0,0,0,0,409,52.5,0,0.0,56,16.8,ekelau00,2024,ekelau00_2024_gamelog.csv
