Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,98,1,1,2024-09-08,MIN,@,NYG,"W, 28-6",*,14,94,1,6.7,2,2,15,7.5,0,100.0,7.5,0,0,0,0,0,0,30,54.5,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
2,99,2,2,2024-09-15,MIN,,SFO,"W, 23-17",*,9,32,0,3.6,6,5,36,7.2,0,83.3,6.0,1,1,0,0,0,0,33,61.1,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
3,100,3,3,2024-09-22,MIN,,HOU,"W, 34-7",*,19,102,0,5.4,6,5,46,9.2,1,83.3,7.7,0,0,0,0,0,0,38,60.3,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
4,101,4,4,2024-09-29,MIN,@,GNB,"W, 31-29",*,22,93,0,4.2,5,4,46,11.5,0,80.0,9.2,0,0,0,0,0,0,56,82.4,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
5,102,5,5,2024-10-06,MIN,,NYJ,"W, 23-17",*,7,29,0,4.1,1,1,24,24.0,0,100.0,24.0,0,0,0,0,0,0,16,21.9,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
6,103,6,7,2024-10-20,MIN,,DET,"L, 29-31",*,14,93,1,6.6,3,3,23,7.7,0,100.0,7.7,0,0,0,0,0,0,43,71.7,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
7,104,7,8,2024-10-24,MIN,@,LAR,"L, 20-30",*,19,58,0,3.1,2,2,37,18.5,0,100.0,18.5,0,0,0,0,0,0,46,92.0,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
8,105,8,9,2024-11-03,MIN,,IND,"W, 21-13",*,21,64,0,3.0,4,4,18,4.5,0,100.0,4.5,0,0,0,0,0,0,55,75.3,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
9,106,9,10,2024-11-10,MIN,@,JAX,"W, 12-7",*,17,88,0,5.2,3,2,13,6.5,0,66.7,4.3,0,0,0,0,0,0,44,52.4,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
10,107,10,11,2024-11-17,MIN,@,TEN,"W, 23-13",*,15,39,0,2.6,1,1,4,4.0,0,100.0,4.0,1,0,0,1,0,0,39,53.4,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
11,108,11,12,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",*,22,106,1,4.8,4,3,23,7.7,0,75.0,5.8,1,1,0,0,0,0,56,78.9,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
12,109,12,13,2024-12-01,MIN,,ARI,"W, 23-22",*,5,22,0,4.4,4,3,6,2.0,1,75.0,1.5,2,1,0,0,0,0,28,52.8,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
13,110,13,14,2024-12-08,MIN,,ATL,"W, 42-21",*,13,73,1,5.6,2,2,11,5.5,0,100.0,5.5,0,0,0,0,0,0,38,63.3,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
14,111,14,15,2024-12-16,MIN,,CHI,"W, 30-12",*,18,86,1,4.8,3,2,20,10.0,0,66.7,6.7,0,0,0,0,0,0,47,61.0,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
15,112,15,16,2024-12-22,MIN,@,SEA,"W, 27-24",*,18,67,0,3.7,5,3,26,8.7,0,60.0,5.2,0,0,0,0,0,0,54,81.8,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
16,113,16,17,2024-12-29,MIN,,GNB,"W, 27-25",*,12,47,0,3.9,5,4,30,7.5,0,80.0,6.0,0,0,0,0,0,0,37,51.4,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
17,114,17,18,2025-01-05,MIN,@,DET,"L, 9-31",*,10,45,0,4.5,6,5,30,6.0,0,83.3,5.0,0,0,0,0,0,0,40,61.5,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
,,,,,,,,14-3,,255,1138,5,4.5,62,51,408,8.0,2,82.3,6.6,5,3,0,1,0,0,700,62.7,0,0.0,0,0.0,joneaa00,2024,joneaa00_2024_gamelog.csv
