Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,102,1,1,2024-09-08,NOR,,CAR,"W, 47-10",*,15,83,1,5.5,5,5,27,5.4,0,100.0,5.4,0,0,0,0,0,0,34,51.5,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
2,103,2,2,2024-09-15,NOR,@,DAL,"W, 44-19",*,20,115,3,5.8,3,2,65,32.5,1,66.7,21.7,0,0,0,0,0,0,37,62.7,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
3,104,3,3,2024-09-22,NOR,,PHI,"L, 12-15",*,26,87,0,3.3,3,3,40,13.3,0,100.0,13.3,0,0,0,0,0,0,48,85.7,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
4,105,4,4,2024-09-29,NOR,@,ATL,"L, 24-26",*,19,77,1,4.1,9,7,42,6.0,0,77.8,4.7,0,0,0,0,0,0,61,82.4,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
5,106,5,5,2024-10-07,NOR,@,KAN,"L, 13-26",*,11,26,0,2.4,8,6,40,6.7,0,75.0,5.0,0,0,0,0,0,0,47,88.7,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
6,107,6,6,2024-10-13,NOR,,TAM,"L, 27-51",*,13,40,1,3.1,8,5,24,4.8,0,62.5,3.0,1,0,0,0,0,0,52,74.3,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
7,108,7,7,2024-10-17,NOR,,DEN,"L, 10-33",*,7,10,0,1.4,7,6,14,2.3,0,85.7,2.0,0,0,0,0,0,0,40,57.1,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
8,109,8,8,2024-10-27,NOR,@,LAC,"L, 8-26",*,10,67,0,6.7,11,6,55,9.2,0,54.5,5.0,0,0,0,0,0,0,40,54.8,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
9,110,9,9,2024-11-03,NOR,@,CAR,"L, 22-23",*,29,155,0,5.3,9,6,60,10.0,0,66.7,6.7,0,0,0,0,0,0,61,77.2,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
10,111,10,10,2024-11-10,NOR,,ATL,"W, 20-17",*,17,55,0,3.2,6,5,54,10.8,0,83.3,9.0,0,0,0,0,0,0,43,81.1,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
11,112,11,11,2024-11-17,NOR,,CLE,"W, 35-14",*,16,67,0,4.2,4,4,22,5.5,0,100.0,5.5,0,0,0,0,0,0,44,73.3,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
12,113,12,13,2024-12-01,NOR,,LAR,"L, 14-21",*,23,112,0,4.9,6,4,7,1.8,0,66.7,1.2,0,0,0,0,0,0,60,85.7,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
13,114,13,14,2024-12-08,NOR,@,NYG,"W, 14-11",*,17,44,0,2.6,5,5,35,7.0,0,100.0,7.0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
14,115,14,15,2024-12-15,NOR,,WAS,"L, 19-20",*,5,12,0,2.4,5,4,58,14.5,1,80.0,11.6,0,0,0,0,0,0,25,45.5,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
14,,15,16,2024-12-23,NOR,@,GNB,"L, 0-34",Inactive,,,,,,,,,,,,,,,,,,,,,,,,kamaal00,2024,kamaal00_2024_gamelog.csv
14,,16,17,2024-12-29,NOR,,LVR,"L, 10-25",Inactive,,,,,,,,,,,,,,,,,,,,,,,,kamaal00,2024,kamaal00_2024_gamelog.csv
14,,17,18,2025-01-05,NOR,@,TAM,"L, 19-27",Inactive,,,,,,,,,,,,,,,,,,,,,,,,kamaal00,2024,kamaal00_2024_gamelog.csv
,,,,,,,,5-9,,228,950,6,4.2,89,68,543,8.0,2,76.4,6.1,1,0,0,0,0,0,641,70.8,0,0.0,0,0.0,kamaal00,2024,kamaal00_2024_gamelog.csv
