Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
,,1,1,2024-09-09,SFO,,NYJ,"W, 32-19",Inactive,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,2,2,2024-09-15,SFO,@,MIN,"L, 17-23",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,3,3,2024-09-22,SFO,@,LAR,"L, 24-27",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,4,4,2024-09-29,SFO,,NWE,"W, 30-13",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,5,5,2024-10-06,SFO,,ARI,"L, 23-24",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,6,6,2024-10-10,SFO,@,SEA,"W, 36-24",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,7,7,2024-10-20,SFO,,KAN,"L, 18-28",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,8,8,2024-10-27,SFO,,DAL,"W, 30-24",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
1,92,9,10,2024-11-10,SFO,@,TAM,"W, 23-20",*,13,39,0,3.0,7,6,68,11.3,0,85.7,9.7,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0,mccach01,2024,mccach01_2024_gamelog.csv
2,93,10,11,2024-11-17,SFO,,SEA,"L, 17-20",*,19,79,0,4.2,5,4,27,6.8,0,80.0,5.4,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0,mccach01,2024,mccach01_2024_gamelog.csv
3,94,11,12,2024-11-24,SFO,@,GNB,"L, 10-38",*,11,31,0,2.8,4,3,37,12.3,0,75.0,9.3,1,1,0,0,0,0,40,81.6,0,0.0,0,0.0,mccach01,2024,mccach01_2024_gamelog.csv
4,95,12,13,2024-12-01,SFO,@,BUF,"L, 10-35",*,7,53,0,7.6,3,2,14,7.0,0,66.7,4.7,0,0,0,0,0,0,12,25.0,0,0.0,0,0.0,mccach01,2024,mccach01_2024_gamelog.csv
4,,13,14,2024-12-08,SFO,,CHI,"W, 38-13",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
4,,14,15,2024-12-12,SFO,,LAR,"L, 6-12",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
4,,15,16,2024-12-22,SFO,@,MIA,"L, 17-29",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
4,,16,17,2024-12-30,SFO,,DET,"L, 34-40",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
4,,17,18,2025-01-05,SFO,@,ARI,"L, 24-47",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,mccach01,2024,mccach01_2024_gamelog.csv
,,,,,,,,1-3,,50,202,0,4.0,19,15,146,9.7,0,78.9,7.7,1,1,0,0,0,0,167,74.6,0,0.0,0,0.0,mccach01,2024,mccach01_2024_gamelog.csv
