Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,98,1,1,2024-09-08,HOU,@,IND,"W, 29-27",*,30,159,1,5.3,3,3,19,6.3,0,100.0,6.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,72.2,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
2,99,2,2,2024-09-15,HOU,,CHI,"W, 19-13",*,9,25,0,2.8,5,3,25,8.3,0,60.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,29,46.8,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
2,,3,3,2024-09-22,HOU,@,MIN,"L, 7-34",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixojo00,2024,mixojo00_2024_gamelog.csv
2,,4,4,2024-09-29,HOU,,JAX,"W, 24-20",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixojo00,2024,mixojo00_2024_gamelog.csv
2,,5,5,2024-10-06,HOU,,BUF,"W, 23-20",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixojo00,2024,mixojo00_2024_gamelog.csv
3,100,6,6,2024-10-13,HOU,@,NWE,"W, 41-21",*,13,102,1,7.8,3,2,30,15.0,1,66.7,10.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,28,42.4,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
4,101,7,7,2024-10-20,HOU,@,GNB,"L, 22-24",*,25,115,2,4.6,3,2,9,4.5,0,66.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,42,65.6,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
5,102,8,8,2024-10-27,HOU,,IND,"W, 23-20",*,25,102,1,4.1,6,4,32,8.0,0,66.7,5.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,76.1,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
6,103,9,9,2024-10-31,HOU,@,NYJ,"L, 13-21",*,24,106,1,4.4,0,0,0,,0,,,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,44,55.7,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
7,104,10,10,2024-11-10,HOU,,DET,"L, 23-26",*,25,46,1,1.8,4,2,44,22.0,0,50.0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,76.5,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
8,105,11,11,2024-11-18,HOU,@,DAL,"W, 34-10",*,20,109,3,5.5,4,2,44,22.0,0,50.0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,81.3,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
9,106,12,12,2024-11-24,HOU,,TEN,"L, 27-32",*,14,22,0,1.6,6,5,23,4.6,0,83.3,3.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
10,107,13,13,2024-12-01,HOU,@,JAX,"W, 23-20",*,20,101,1,5.1,6,4,18,4.5,0,66.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,47,74.6,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
11,108,14,15,2024-12-15,HOU,,MIA,"W, 20-12",*,12,23,0,1.9,6,5,33,6.6,0,83.3,5.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,32,64.0,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
12,109,15,16,2024-12-21,HOU,@,KAN,"L, 19-27",*,14,57,0,4.1,2,1,14,14.0,0,50.0,7.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,66.1,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
13,110,16,17,2024-12-25,HOU,,BAL,"L, 2-31",*,9,26,0,2.9,3,2,13,6.5,0,66.7,4.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,27,48.2,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
14,111,17,18,2025-01-05,HOU,@,TEN,"W, 23-14",*,5,23,0,4.6,1,1,5,5.0,0,100.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,11,18.3,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
,,,,,,,,8-6,,245,1016,11,4.1,52,36,309,8.6,1,69.2,5.9,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,557,62.1,0,0.0,0,0.0,mixojo00,2024,mixojo00_2024_gamelog.csv
