Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,80,1,1,2024-09-08,TEN,@,CHI,"L, 17-24",*,16,82,1,5.1,4,3,12,4.0,0,75.0,3.0,0,0,0,0,0,0,39,60.9,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
2,81,2,2,2024-09-15,TEN,,NYJ,"L, 17-24",*,17,62,0,3.6,6,5,40,8.0,0,83.3,6.7,0,0,0,0,0,0,44,66.7,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
3,82,3,3,2024-09-22,TEN,,GNB,"L, 14-30",*,6,14,0,2.3,4,3,15,5.0,0,75.0,3.8,0,0,0,0,0,0,34,63.0,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
4,83,4,4,2024-09-30,TEN,@,MIA,"W, 31-12",*,22,88,1,4.0,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,39,60.0,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
5,84,5,6,2024-10-13,TEN,,IND,"L, 17-20",*,17,93,1,5.5,3,3,-5,-1.7,0,100.0,-1.7,0,0,0,0,0,0,43,74.1,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
6,85,6,7,2024-10-20,TEN,@,BUF,"L, 10-34",*,16,61,0,3.8,6,2,4,2.0,0,33.3,0.7,0,0,0,1,0,0,65,89.0,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
7,86,7,8,2024-10-27,TEN,@,DET,"L, 14-52",*,20,94,0,4.7,4,3,23,7.7,0,75.0,5.8,0,0,0,0,0,0,62,81.6,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
8,87,8,9,2024-11-03,TEN,,NWE,"W, 20-17 (OT)",*,28,128,0,4.6,3,3,26,8.7,0,100.0,8.7,0,0,0,0,0,0,66,85.7,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
9,88,9,10,2024-11-10,TEN,@,LAC,"L, 17-27",*,9,44,0,4.9,4,4,19,4.8,0,100.0,4.8,0,0,0,0,0,0,29,53.7,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
10,89,10,11,2024-11-17,TEN,,MIN,"L, 13-23",*,9,15,0,1.7,4,2,14,7.0,0,50.0,3.5,0,0,0,0,0,0,37,62.7,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
11,90,11,12,2024-11-24,TEN,@,HOU,"W, 32-27",*,24,119,1,5.0,5,3,10,3.3,0,60.0,2.0,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
12,91,12,13,2024-12-01,TEN,@,WAS,"L, 19-42",*,8,35,0,4.4,6,4,33,8.3,0,66.7,5.5,1,1,0,0,0,0,40,72.7,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
13,92,13,14,2024-12-08,TEN,,JAX,"L, 6-10",*,21,102,0,4.9,2,2,22,11.0,0,100.0,11.0,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
14,93,14,15,2024-12-15,TEN,,CIN,"L, 27-37",*,17,45,1,2.6,0,0,0,,0,,,1,1,0,0,0,0,31,44.3,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
15,94,15,16,2024-12-22,TEN,@,IND,"L, 30-38",*,8,35,0,4.4,4,2,5,2.5,0,50.0,1.3,0,0,0,0,0,0,24,39.3,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
15,,16,17,2024-12-29,TEN,@,JAX,"L, 13-20",Inactive,,,,,,,,,,,,,,,,,,,,,,,,pollto00,2024,pollto00_2024_gamelog.csv
16,95,17,18,2025-01-05,TEN,,HOU,"L, 14-23",*,22,62,0,2.8,0,0,0,,0,,,0,0,0,0,0,0,45,72.6,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
,,,,,,,,3-13,,260,1079,5,4.2,57,41,238,5.8,0,71.9,4.2,2,2,0,1,0,0,701,68.4,0,0.0,0,0.0,pollto00,2024,pollto00_2024_gamelog.csv
