"","Rushing","Receiving","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","52","1","1","2024-09-08","PIT","@","ATL","W, 18-10","*","20","70","0","3.5","2","1","9","9.0","0","50.0","4.5","38","55.9","0","0.0","0","0.0"
"2","53","2","2","2024-09-15","PIT","@","DEN","W, 13-6","*","17","69","0","4.1","2","1","5","5.0","0","50.0","2.5","30","45.5","0","0.0","0","0.0"
"3","54","3","3","2024-09-22","PIT","","LAC","W, 20-10","*","18","70","0","3.9","5","5","16","3.2","0","100.0","3.2","40","58.8","0","0.0","0","0.0"
"4","55","4","4","2024-09-29","PIT","@","IND","L, 24-27","*","13","19","0","1.5","6","3","54","18.0","0","50.0","9.0","48","68.6","0","0.0","0","0.0"
"5","56","5","5","2024-10-06","PIT","","DAL","L, 17-20","*","14","42","0","3.0","2","2","35","17.5","0","100.0","17.5","43","74.1","0","0.0","0","0.0"
"6","57","6","6","2024-10-13","PIT","@","LVR","W, 32-13","*","14","106","1","7.6","2","2","16","8.0","0","100.0","8.0","31","46.3","0","0.0","1","4.0"
"7","58","7","7","2024-10-20","PIT","","NYJ","W, 37-15","*","21","102","1","4.9","1","0","0","","0","0.0","0.0","33","48.5","0","0.0","0","0.0"
"8","59","8","8","2024-10-28","PIT","","NYG","W, 26-18","*","19","114","0","6.0","4","3","17","5.7","0","75.0","4.3","39","59.1","0","0.0","0","0.0"
"9","60","9","10","2024-11-10","PIT","@","WAS","W, 28-27","*","21","53","1","2.5","0","0","0","","0","","","37","47.4","0","0.0","0","0.0"
"10","61","10","11","2024-11-17","PIT","","BAL","W, 18-16","*","18","63","0","3.5","5","4","30","7.5","0","80.0","6.0","45","57.7","0","0.0","0","0.0"
"11","62","11","12","2024-11-21","PIT","@","CLE","L, 19-24","*","16","41","0","2.6","2","2","13","6.5","0","100.0","6.5","27","39.1","0","0.0","0","0.0"
"12","63","12","13","2024-12-01","PIT","@","CIN","W, 44-38","*","16","75","1","4.7","6","6","54","9.0","0","100.0","9.0","36","52.2","0","0.0","1","3.0"
"13","64","13","14","2024-12-08","PIT","","CLE","W, 27-14","*","16","53","1","3.3","0","0","0","","0","","","27","41.5","0","0.0","0","0.0"
"14","65","14","15","2024-12-15","PIT","@","PHI","L, 13-27","*","6","14","0","2.3","1","1","7","7.0","0","100.0","7.0","14","32.6","0","0.0","0","0.0"
"15","66","15","16","2024-12-21","PIT","@","BAL","L, 17-34","*","9","42","0","4.7","1","0","0","","0","0.0","0.0","17","28.3","0","0.0","0","0.0"
"16","67","16","17","2024-12-25","PIT","","KAN","L, 10-29","*","13","74","0","5.7","4","2","7","3.5","0","50.0","1.8","34","45.3","0","0.0","0","0.0"
"17","68","17","18","2025-01-04","PIT","","CIN","L, 17-19","*","12","36","1","3.0","5","4","20","5.0","0","80.0","4.0","30","49.2","0","0.0","0","0.0"
"","","","","","","","","10-7","","263","1043","6","4.0","48","36","283","7.9","0","75.0","5.9","569","50.4","0","0.0","2","0.4"
