"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","18","1","1","2024-09-08","ATL","","PIT","L, 10-18","*","18","68","0","3.8","5","5","43","8.6","0","100.0","8.6","0","0","0","0","0","0","50","89.3","0","0.0","0","0.0"
"2","19","2","2","2024-09-16","ATL","@","PHI","W, 22-21","*","14","97","0","6.9","5","4","25","6.3","0","80.0","5.0","0","0","0","1","0","0","46","75.4","0","0.0","0","0.0"
"3","20","3","3","2024-09-22","ATL","","KAN","L, 17-22","*","16","31","1","1.9","2","2","21","10.5","0","100.0","10.5","0","0","0","1","0","0","50","82.0","0","0.0","0","0.0"
"4","21","4","4","2024-09-29","ATL","","NOR","W, 26-24","*","7","28","0","4.0","4","4","46","11.5","0","100.0","11.5","0","0","0","0","0","0","36","64.3","0","0.0","0","0.0"
"5","22","5","5","2024-10-03","ATL","","TAM","W, 36-30 (OT)","*","12","61","0","5.1","3","3","16","5.3","0","100.0","5.3","0","0","0","0","0","0","58","66.7","0","0.0","0","0.0"
"6","23","6","6","2024-10-13","ATL","@","CAR","W, 38-20","*","15","95","2","6.3","4","3","10","3.3","0","75.0","2.5","0","0","0","0","0","0","39","55.7","0","0.0","0","0.0"
"7","24","7","7","2024-10-20","ATL","","SEA","L, 14-34","*","21","103","1","4.9","5","3","40","13.3","0","60.0","8.0","0","0","0","0","0","0","50","68.5","0","0.0","0","0.0"
"8","25","8","8","2024-10-27","ATL","@","TAM","W, 31-26","*","13","63","0","4.8","7","7","43","6.1","1","100.0","6.1","0","0","0","0","0","0","42","67.7","0","0.0","0","0.0"
"9","26","9","9","2024-11-03","ATL","","DAL","W, 27-21","*","19","86","0","4.5","7","7","59","8.4","0","100.0","8.4","0","0","0","1","0","0","42","73.7","0","0.0","0","0.0"
"10","27","10","10","2024-11-10","ATL","@","NOR","L, 17-20","*","20","116","2","5.8","4","3","28","9.3","0","75.0","7.0","0","0","0","0","0","0","61","78.2","0","0.0","0","0.0"
"11","28","11","11","2024-11-17","ATL","@","DEN","L, 6-38","*","12","35","0","2.9","4","4","28","7.0","0","100.0","7.0","0","0","0","0","0","0","42","71.2","0","0.0","0","0.0"
"12","29","12","13","2024-12-01","ATL","","LAC","L, 13-17","*","26","102","1","3.9","6","6","33","5.5","0","100.0","5.5","0","0","0","0","0","0","61","75.3","0","0.0","0","0.0"
"13","30","13","14","2024-12-08","ATL","@","MIN","L, 21-42","*","22","92","1","4.2","2","2","9","4.5","0","100.0","4.5","0","0","0","0","0","0","63","85.1","0","0.0","0","0.0"
"14","31","14","15","2024-12-16","ATL","@","LVR","W, 15-9","*","22","125","0","5.7","2","1","10","10.0","0","50.0","5.0","0","0","0","0","0","0","44","75.9","0","0.0","0","0.0"
"15","32","15","16","2024-12-22","ATL","","NYG","W, 34-7","*","22","94","2","4.3","2","2","9","4.5","0","100.0","4.5","0","0","0","0","0","0","50","74.6","0","0.0","0","0.0"
"16","33","16","17","2024-12-29","ATL","@","WAS","L, 24-30 (OT)","*","17","90","2","5.3","5","3","8","2.7","0","60.0","1.6","1","0","0","1","-21","0","58","90.6","0","0.0","0","0.0"
"17","34","17","18","2025-01-05","ATL","","CAR","L, 38-44 (OT)","*","28","170","2","6.1","5","2","3","1.5","0","40.0","0.6","0","0","0","0","0","0","69","87.3","0","0.0","0","0.0"
"","","","","","","","","8-9","","304","1456","14","4.8","72","61","431","7.1","1","84.7","6.0","1","0","0","4","-21","0","861","75.3","0","0.0","0","0.0"
