"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","54","1","1","2024-09-08","IND","","HOU","L, 27-29","*","16","48","1","3.0","0","0","0","","0","","","0","0","0","0","0","0","43","95.6","0","0.0","0","0.0"
"2","55","2","2","2024-09-15","IND","@","GNB","L, 10-16","*","12","103","0","8.6","4","2","32","16.0","0","50.0","8.0","1","0","0","0","0","0","29","51.8","0","0.0","0","0.0"
"3","56","3","3","2024-09-22","IND","","CHI","W, 21-16","*","23","110","2","4.8","2","1","25","25.0","0","50.0","12.5","0","0","0","0","0","0","49","87.5","0","0.0","0","0.0"
"4","57","4","4","2024-09-29","IND","","PIT","W, 27-24","*","21","88","1","4.2","4","3","20","6.7","0","75.0","5.0","0","0","0","0","0","0","48","72.7","0","0.0","0","0.0"
"4","","5","5","2024-10-06","IND","@","JAX","L, 34-37","Inactive"
"4","","6","6","2024-10-13","IND","@","TEN","W, 20-17","Inactive"
"4","","7","7","2024-10-20","IND","","MIA","W, 16-10","Inactive"
"5","58","8","8","2024-10-27","IND","@","HOU","L, 20-23","*","20","105","1","5.3","1","1","12","12.0","0","100.0","12.0","0","0","0","0","0","0","52","81.3","0","0.0","0","0.0"
"6","59","9","9","2024-11-03","IND","@","MIN","L, 13-21","*","13","48","0","3.7","5","3","11","3.7","0","60.0","2.2","0","0","0","0","0","0","39","72.2","0","0.0","0","0.0"
"7","60","10","10","2024-11-10","IND","","BUF","L, 20-30","*","21","114","0","5.4","4","2","8","4.0","0","50.0","2.0","0","0","0","0","0","0","53","82.8","0","0.0","0","0.0"
"8","61","11","11","2024-11-17","IND","@","NYJ","W, 28-27","*","24","57","0","2.4","2","1","3","3.0","0","50.0","1.5","0","0","0","0","0","0","63","90.0","0","0.0","0","0.0"
"9","62","12","12","2024-11-24","IND","","DET","L, 6-24","*","11","35","0","3.2","0","0","0","","0","","","1","0","0","0","0","0","53","96.4","0","0.0","0","0.0"
"10","63","13","13","2024-12-01","IND","@","NWE","W, 25-24","","25","96","0","3.8","1","1","7","7.0","1","100.0","7.0","1","0","0","1","0","0","55","88.7","0","0.0","0","0.0"
"11","64","14","15","2024-12-15","IND","@","DEN","L, 13-31","*","22","107","0","4.9","2","1","4","4.0","0","50.0","2.0","1","1","0","0","0","0","52","68.4","0","0.0","0","0.0"
"12","65","15","16","2024-12-22","IND","","TEN","W, 38-30","*","29","218","3","7.5","0","0","0","","0","","","0","0","0","0","0","0","47","75.8","0","0.0","0","0.0"
"13","66","16","17","2024-12-29","IND","@","NYG","L, 33-45","*","32","125","2","3.9","4","2","11","5.5","0","50.0","2.8","0","0","0","0","0","0","68","88.3","0","0.0","0","0.0"
"14","67","17","18","2025-01-05","IND","","JAX","W, 26-23 (OT)","*","34","177","1","5.2","2","1","3","3.0","0","50.0","1.5","0","0","0","0","0","0","56","71.8","0","0.0","0","0.0"
"","","","","","","","","6-8","","303","1431","11","4.7","31","18","136","7.6","1","58.1","4.4","4","1","0","1","0","0","707","79.9","0","0.0","0","0.0"
