"","Rushing","Receiving","Punt Returns","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Ret","Yds","PRTD","Y/Ret","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","23","1","1","2024-09-08","LAR","@","DET","L, 20-26 (OT)","*","18","50","1","2.8","3","3","4","1.3","0","100.0","1.3","1","0","0","0.0","0","0","0","0","0","0","71","91.0","0","0.0","4","15.4"
"2","24","2","2","2024-09-15","LAR","@","ARI","L, 10-41","*","12","25","1","2.1","5","4","27","6.8","0","80.0","5.4","1","12","0","12.0","0","0","0","0","0","0","41","78.8","0","0.0","1","4.0"
"3","25","3","3","2024-09-22","LAR","","SFO","W, 27-24","*","24","89","2","3.7","2","2","27","13.5","1","100.0","13.5","0","0","0","","0","0","0","0","0","0","52","89.7","0","0.0","0","0.0"
"4","26","4","4","2024-09-29","LAR","@","CHI","L, 18-24","*","19","94","1","4.9","4","4","10","2.5","0","100.0","2.5","0","0","0","","0","0","0","0","0","0","48","78.7","0","0.0","0","0.0"
"5","27","5","5","2024-10-06","LAR","","GNB","L, 19-24","*","22","102","1","4.6","1","1","3","3.0","0","100.0","3.0","0","0","0","","1","1","0","0","0","0","67","85.9","0","0.0","0","0.0"
"6","28","6","7","2024-10-20","LAR","","LVR","W, 20-15","*","21","76","2","3.6","0","0","0","","0","","","0","0","0","","0","0","0","0","0","0","49","89.1","0","0.0","0","0.0"
"7","29","7","8","2024-10-24","LAR","","MIN","W, 30-20","*","23","97","0","4.2","7","5","19","3.8","1","71.4","2.7","0","0","0","","0","0","0","0","0","0","64","88.9","0","0.0","1","4.0"
"8","30","8","9","2024-11-03","LAR","@","SEA","W, 26-20 (OT)","*","22","69","0","3.1","3","1","26","26.0","0","33.3","8.7","0","0","0","","1","0","0","0","0","0","76","98.7","0","0.0","0","0.0"
"9","31","9","10","2024-11-11","LAR","","MIA","L, 15-23","*","15","62","0","4.1","6","5","20","4.0","0","83.3","3.3","0","0","0","","1","1","0","0","0","0","65","92.9","0","0.0","0","0.0"
"10","32","10","11","2024-11-17","LAR","@","NWE","W, 28-22","*","15","86","0","5.7","0","0","0","","0","","","0","0","0","","0","0","0","0","0","0","42","80.8","0","0.0","0","0.0"
"11","33","11","12","2024-11-24","LAR","","PHI","L, 20-37","*","16","72","1","4.5","0","0","0","","0","","","0","0","0","","2","1","0","0","0","0","58","90.6","0","0.0","0","0.0"
"12","34","12","13","2024-12-01","LAR","@","NOR","W, 21-14","*","15","104","1","6.9","1","1","9","9.0","0","100.0","9.0","0","0","0","","0","0","0","0","0","0","38","67.9","0","0.0","0","0.0"
"13","35","13","14","2024-12-08","LAR","","BUF","W, 44-42","*","29","87","2","3.0","2","2","10","5.0","0","100.0","5.0","0","0","0","","0","0","0","0","0","0","64","83.1","0","0.0","1","3.0"
"14","36","14","15","2024-12-12","LAR","@","SFO","W, 12-6","*","29","108","0","3.7","2","2","4","2.0","0","100.0","2.0","0","0","0","","0","0","0","0","0","0","56","86.2","0","0.0","0","0.0"
"15","37","15","16","2024-12-22","LAR","@","NYJ","W, 19-9","*","23","122","1","5.3","1","1","7","7.0","0","100.0","7.0","0","0","0","","0","0","0","0","0","0","43","82.7","0","0.0","0","0.0"
"16","38","16","17","2024-12-28","LAR","","ARI","W, 13-9","*","13","56","1","4.3","3","3","16","5.3","0","100.0","5.3","0","0","0","","0","0","0","0","0","0","54","94.7","0","0.0","0","0.0"
"16","","17","18","2025-01-05","LAR","","SEA","L, 25-30","Inactive"
"","","","","","","","","10-6","","316","1299","14","4.1","40","34","182","5.4","2","85.0","4.6","2","12","0","6.0","5","3","0","0","0","0","888","86.7","0","0.0","7","1.7"
