"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","45","1","1","2022-09-11","NYG","@","TEN","W, 21-20","*","18","164","1","9.1","7","6","30","5.0","0","85.7","4.3","1","0","0","0","0","0","50","83.3","0","0.0","0","0.0"
"2","46","2","2","2022-09-18","NYG","","CAR","W, 19-16","*","21","72","0","3.4","4","3","16","5.3","0","75.0","4.0","0","0","0","0","0","0","61","83.6","0","0.0","0","0.0"
"3","47","3","3","2022-09-26","NYG","","DAL","L, 16-23","*","14","81","1","5.8","4","4","45","11.3","0","100.0","11.3","0","0","0","0","0","0","66","91.7","0","0.0","0","0.0"
"4","48","4","4","2022-10-02","NYG","","CHI","W, 20-12","*","31","146","0","4.7","2","2","16","8.0","0","100.0","8.0","0","0","0","0","0","0","61","93.8","0","0.0","0","0.0"
"5","49","5","5","2022-10-09","NYG","@","GNB","W, 27-22","*","13","70","1","5.4","6","3","36","12.0","0","50.0","6.0","0","0","0","0","0","0","42","68.9","0","0.0","0","0.0"
"6","50","6","6","2022-10-16","NYG","","BAL","W, 24-20","*","22","83","1","3.8","3","3","12","4.0","0","100.0","4.0","0","0","0","0","0","0","57","87.7","0","0.0","0","0.0"
"7","51","7","7","2022-10-23","NYG","@","JAX","W, 23-17","*","24","110","0","4.6","4","4","25","6.3","0","100.0","6.3","0","0","0","0","0","0","62","80.5","0","0.0","0","0.0"
"8","52","8","8","2022-10-30","NYG","@","SEA","L, 13-27","*","20","53","1","2.7","5","3","9","3.0","0","60.0","1.8","0","0","0","0","0","0","52","80.0","0","0.0","0","0.0"
"9","53","9","10","2022-11-13","NYG","","HOU","W, 24-16","*","35","152","1","4.3","1","1","8","8.0","0","100.0","8.0","0","0","0","0","0","0","55","79.7","0","0.0","2","6.7"
"10","54","10","11","2022-11-20","NYG","","DET","L, 18-31","*","15","22","0","1.5","5","2","13","6.5","0","40.0","2.6","0","0","0","0","0","0","58","76.3","0","0.0","0","0.0"
"11","55","11","12","2022-11-24","NYG","@","DAL","L, 20-28","*","11","39","1","3.5","6","4","13","3.3","0","66.7","2.2","0","0","0","0","0","0","47","73.4","0","0.0","0","0.0"
"12","56","12","13","2022-12-04","NYG","","WAS","T, 20-20 (OT)","*","18","63","1","3.5","5","5","18","3.6","0","100.0","3.6","0","0","0","0","0","0","58","87.9","0","0.0","0","0.0"
"13","57","13","14","2022-12-11","NYG","","PHI","L, 22-48","*","9","28","0","3.1","2","2","20","10.0","0","100.0","10.0","0","0","0","0","0","0","20","31.3","0","0.0","0","0.0"
"14","58","14","15","2022-12-18","NYG","@","WAS","W, 20-12","*","18","87","1","4.8","8","5","33","6.6","0","62.5","4.1","0","0","0","0","0","0","54","85.7","0","0.0","0","0.0"
"15","59","15","16","2022-12-24","NYG","@","MIN","L, 24-27","*","14","84","1","6.0","10","8","49","6.1","0","80.0","4.9","0","0","0","0","0","0","63","91.3","0","0.0","0","0.0"
"16","60","16","17","2023-01-01","NYG","","IND","W, 38-10","*","12","58","0","4.8","4","2","-5","-2.5","0","50.0","-1.3","0","0","0","0","0","0","50","79.4","0","0.0","0","0.0"
"16","","17","18","2023-01-08","NYG","@","PHI","L, 16-22","Inactive"
"","","","","","","","","9-6-1","","295","1312","10","4.4","76","57","338","5.9","0","75.0","4.4","1","0","0","0","0","0","856","79.9","0","0.0","2","0.5"
