"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","70","1","1","2022-09-11","GNB","@","MIN","L, 7-23","*","5","49","0","9.8","5","3","27","9.0","0","60.0","5.4","0","0","0","0","0","0","37","60.7","0","0.0","0","0.0"
"2","71","2","2","2022-09-18","GNB","","CHI","W, 27-10","*","15","132","1","8.8","3","3","38","12.7","1","100.0","12.7","0","0","0","0","0","0","40","58.8","0","0.0","0","0.0"
"3","72","3","3","2022-09-25","GNB","@","TAM","W, 14-12","*","12","36","0","3.0","4","3","11","3.7","0","75.0","2.8","1","1","0","0","0","0","39","62.9","0","0.0","1","4.0"
"4","73","4","4","2022-10-02","GNB","","NWE","W, 27-24 (OT)","*","16","110","0","6.9","4","3","5","1.7","0","75.0","1.3","0","0","0","0","0","0","45","61.6","0","0.0","0","0.0"
"5","74","5","5","2022-10-09","GNB","","NYG","L, 22-27","*","13","63","0","4.8","3","2","17","8.5","0","66.7","5.7","0","0","0","0","0","0","46","73.0","0","0.0","0","0.0"
"6","75","6","6","2022-10-16","GNB","","NYJ","L, 10-27","*","9","19","0","2.1","4","3","25","8.3","0","75.0","6.3","0","0","0","1","0","0","41","56.2","0","0.0","0","0.0"
"7","76","7","7","2022-10-23","GNB","@","WAS","L, 21-23","*","8","23","0","2.9","10","9","53","5.9","2","90.0","5.3","0","0","0","0","0","0","40","74.1","0","0.0","0","0.0"
"8","77","8","8","2022-10-30","GNB","@","BUF","L, 17-27","*","20","143","0","7.2","5","4","14","3.5","0","80.0","2.8","0","0","0","0","0","0","44","66.7","0","0.0","0","0.0"
"9","78","9","9","2022-11-06","GNB","@","DET","L, 9-15","*","9","25","0","2.8","2","2","20","10.0","0","100.0","10.0","0","0","0","0","0","0","30","40.5","0","0.0","0","0.0"
"10","79","10","10","2022-11-13","GNB","","DAL","W, 31-28 (OT)","*","24","138","1","5.8","2","2","18","9.0","0","100.0","9.0","1","0","0","1","0","0","45","70.3","0","0.0","0","0.0"
"11","80","11","11","2022-11-17","GNB","","TEN","L, 17-27","*","12","40","0","3.3","7","6","20","3.3","0","85.7","2.9","1","0","0","0","0","0","40","65.6","0","0.0","0","0.0"
"12","81","12","12","2022-11-27","GNB","@","PHI","L, 33-40","*","12","43","0","3.6","4","3","56","18.7","1","75.0","14.0","0","0","0","0","0","0","35","71.4","0","0.0","0","0.0"
"13","82","13","13","2022-12-04","GNB","@","CHI","W, 28-19","*","9","26","0","2.9","5","5","24","4.8","0","100.0","4.8","0","0","0","0","0","0","25","37.9","0","0.0","0","0.0"
"14","83","14","15","2022-12-19","GNB","","LAR","W, 24-12","*","17","90","0","5.3","5","4","36","9.0","1","80.0","7.2","1","1","0","0","0","0","40","56.3","0","0.0","0","0.0"
"15","84","15","16","2022-12-25","GNB","@","MIA","W, 26-20","*","6","25","0","4.2","2","2","9","4.5","0","100.0","4.5","0","0","0","0","0","0","25","37.9","0","0.0","0","0.0"
"16","85","16","17","2023-01-01","GNB","","MIN","W, 41-17","*","14","111","0","7.9","3","2","2","1.0","0","66.7","0.7","0","0","0","0","0","0","25","39.7","0","0.0","2","7.1"
"17","86","17","18","2023-01-08","GNB","","DET","L, 16-20","*","12","48","0","4.0","4","3","20","6.7","0","75.0","5.0","1","1","0","0","0","0","33","55.0","0","0.0","0","0.0"
"","","","","","","","","8-9","","213","1121","2","5.3","72","59","395","6.7","5","81.9","5.5","5","3","0","2","0","0","630","57.6","0","0.0","3","0.7"
