"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","74","1","1","2022-09-11","NOR","@","ATL","W, 27-26","*","9","39","0","4.3","4","3","7","2.3","0","75.0","1.8","0","0","0","0","0","0","38","62.3","0","0.0","0","0.0"
"1","","2","2","2022-09-18","NOR","","TAM","L, 10-20","Inactive"
"2","75","3","3","2022-09-25","NOR","@","CAR","L, 14-22","*","15","61","0","4.1","7","2","12","6.0","0","28.6","1.7","1","1","0","0","0","0","48","69.6","0","0.0","0","0.0"
"2","","4","4","2022-10-02","NOR","","MIN","L, 25-28","Inactive"
"3","76","5","5","2022-10-09","NOR","","SEA","W, 39-32","*","23","103","0","4.5","6","6","91","15.2","0","100.0","15.2","1","1","0","0","0","0","56","72.7","0","0.0","0","0.0"
"4","77","6","6","2022-10-16","NOR","","CIN","L, 26-30","*","19","99","0","5.2","9","6","25","4.2","0","66.7","2.8","0","0","0","0","0","0","50","69.4","0","0.0","0","0.0"
"5","78","7","7","2022-10-20","NOR","@","ARI","L, 34-42","*","11","49","0","4.5","9","7","56","8.0","0","77.8","6.2","0","0","0","0","0","0","52","72.2","0","0.0","0","0.0"
"6","79","8","8","2022-10-30","NOR","","LVR","W, 24-0","","18","62","1","3.4","10","9","96","10.7","2","90.0","9.6","0","0","0","0","0","0","46","71.9","0","0.0","0","0.0"
"7","80","9","9","2022-11-07","NOR","","BAL","L, 13-27","*","9","30","0","3.3","4","3","32","10.7","0","75.0","8.0","0","0","0","0","0","0","45","88.2","0","0.0","0","0.0"
"8","81","10","10","2022-11-13","NOR","@","PIT","L, 10-20","*","8","26","0","3.3","4","3","19","6.3","0","75.0","4.8","0","0","0","0","0","0","37","78.7","0","0.0","0","0.0"
"9","82","11","11","2022-11-20","NOR","","LAR","W, 27-20","*","12","42","0","3.5","5","4","47","11.8","0","80.0","9.4","0","0","0","0","0","0","40","70.2","0","0.0","1","3.2"
"10","83","12","12","2022-11-27","NOR","@","SFO","L, 0-13","*","7","13","0","1.9","7","6","37","6.2","0","85.7","5.3","2","2","0","0","0","0","38","66.7","0","0.0","0","0.0"
"11","84","13","13","2022-12-05","NOR","@","TAM","L, 16-17","*","12","26","0","2.2","3","2","11","5.5","0","66.7","3.7","0","0","0","1","6","0","35","59.3","0","0.0","0","0.0"
"12","85","14","15","2022-12-18","NOR","","ATL","W, 21-18","*","21","91","0","4.3","2","2","13","6.5","0","100.0","6.5","0","0","0","0","0","0","34","61.8","0","0.0","0","0.0"
"13","86","15","16","2022-12-24","NOR","@","CLE","W, 17-10","","20","76","1","3.8","4","2","34","17.0","0","50.0","8.5","0","0","0","0","0","0","38","70.4","0","0.0","0","0.0"
"14","87","16","17","2023-01-01","NOR","@","PHI","W, 20-10","*","16","73","0","4.6","1","1","7","7.0","0","100.0","7.0","0","0","0","0","0","0","40","58.0","0","0.0","0","0.0"
"15","88","17","18","2023-01-08","NOR","","CAR","L, 7-10","*","23","107","0","4.7","2","1","3","3.0","0","50.0","1.5","0","0","0","0","0","0","45","75.0","0","0.0","0","0.0"
"","","","","","","","","7-8","","223","897","2","4.0","77","57","490","8.6","2","74.0","6.4","4","4","0","1","6","0","642","69.5","0","0.0","1","0.3"
