"","Rushing","Receiving","Passing","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Cmp","Att","Cmp%","Yds","TD","Int","Y/A","AY/A","Rate","Sk","Yds","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","59","1","1","2022-09-11","CAR","","CLE","L, 24-26","*","10","33","1","3.3","5","4","24","6.0","0","80.0","4.8","0","0","","0","0","0","","","","0","0","0","0","0","1","0","0","43","81.1","0","0.0","0","0.0"
"2","60","2","2","2022-09-18","CAR","@","NYG","L, 16-19","*","15","102","0","6.8","5","4","26","6.5","0","80.0","5.2","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","53","91.4","0","0.0","0","0.0"
"3","61","3","3","2022-09-25","CAR","","NOR","W, 22-14","*","25","108","0","4.3","4","2","7","3.5","0","50.0","1.8","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","49","80.3","0","0.0","1","3.4"
"4","62","4","4","2022-10-02","CAR","","ARI","L, 16-26","*","8","27","0","3.4","9","9","81","9.0","1","100.0","9.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","45","86.5","0","0.0","0","0.0"
"5","63","5","5","2022-10-09","CAR","","SFO","L, 15-37","*","14","54","1","3.9","12","7","50","7.1","0","58.3","4.2","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","59","85.5","0","0.0","0","0.0"
"6","64","6","6","2022-10-16","CAR","@","LAR","L, 10-24","*","13","69","0","5.3","8","7","89","12.7","0","87.5","11.1","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","38","86.4","0","0.0","0","0.0"
"","","","Player went from Carolina Panthers to San Francisco 49ers"
"7","65","7","7","2022-10-23","SFO","","KAN","L, 23-44","","8","38","0","4.8","2","2","24","12.0","0","100.0","12.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","23","29.1","0","0.0","0","0.0"
"8","66","8","8","2022-10-30","SFO","@","LAR","W, 31-14","*","18","94","1","5.2","9","8","55","6.9","1","88.9","6.1","1","1","100.0","34","1","0","34.0","54.00","158.3","0","0","1","0","0","0","0","0","43","81.1","0","0.0","0","0.0"
"9","67","9","10","2022-11-13","SFO","","LAC","W, 22-16","*","14","38","1","2.7","6","4","39","9.8","0","66.7","6.5","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","46","64.8","0","0.0","0","0.0"
"10","68","10","11","2022-11-21","SFO","@","ARI","W, 38-10","*","7","39","0","5.6","7","7","67","9.6","0","100.0","9.6","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","38","65.5","0","0.0","0","0.0"
"11","69","11","12","2022-11-27","SFO","","NOR","W, 13-0","*","11","32","0","2.9","6","4","17","4.3","0","66.7","2.8","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","44","62.9","0","0.0","0","0.0"
"12","70","12","13","2022-12-04","SFO","","MIA","W, 33-17","*","17","66","0","3.9","10","8","80","10.0","1","80.0","8.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","69","82.1","0","0.0","0","0.0"
"13","71","13","14","2022-12-11","SFO","","TAM","W, 35-7","*","14","119","1","8.5","3","2","34","17.0","1","66.7","11.3","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","44","69.8","0","0.0","0","0.0"
"14","72","14","15","2022-12-15","SFO","@","SEA","W, 21-13","*","26","108","1","4.2","8","6","30","5.0","0","75.0","3.8","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","57","89.1","0","0.0","1","3.6"
"15","73","15","16","2022-12-24","SFO","","WAS","W, 37-20","*","15","46","1","3.1","2","2","12","6.0","0","100.0","6.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","39","75.0","0","0.0","1","3.7"
"16","74","16","17","2023-01-01","SFO","@","LVR","W, 37-34 (OT)","*","19","121","1","6.4","9","6","72","12.0","0","66.7","8.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","57","85.1","0","0.0","0","0.0"
"17","75","17","18","2023-01-08","SFO","","ARI","W, 38-13","*","10","45","0","4.5","3","3","34","11.3","1","100.0","11.3","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","30","48.4","0","0.0","0","0.0"
"","","","","","","","","11-6","","244","1139","8","4.7","108","85","741","8.7","5","78.7","6.9","1","1","100.0","34","1","0","34.0","54.00","158.3","0","0","1","0","0","1","0","0","777","73.3","0","0.0","3","0.7"
