"","Rushing","Receiving","","Tackles","","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Sk","Comb","Solo","Ast","TFL","QBHits","Sfty","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","67","1","1","2022-09-11","CIN","","PIT","L, 20-23 (OT)","*","27","82","0","3.0","9","7","63","9.0","0","77.8","7.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","73","73.0","0","0.0","0","0.0"
"2","68","2","2","2022-09-18","CIN","@","DAL","L, 17-20","*","19","57","0","3.0","4","3","26","8.7","0","75.0","6.5","0.0","0","0","0","0","0","0","0","0","0","1","0","0","53","75.7","0","0.0","0","0.0"
"3","69","3","3","2022-09-25","CIN","@","NYJ","W, 27-12","*","12","24","0","2.0","7","3","14","4.7","0","42.9","2.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","45","66.2","0","0.0","0","0.0"
"4","70","4","4","2022-09-29","CIN","","MIA","W, 27-15","*","24","61","1","2.5","4","4","13","3.3","0","100.0","3.3","0.0","0","0","0","0","0","0","0","0","0","0","0","0","53","82.8","0","0.0","0","0.0"
"5","71","5","5","2022-10-09","CIN","@","BAL","L, 17-19","*","14","78","0","5.6","3","3","10","3.3","0","100.0","3.3","0.0","1","1","0","0","0","0","0","0","0","0","0","0","44","69.8","0","0.0","0","0.0"
"6","72","6","6","2022-10-16","CIN","@","NOR","W, 30-26","*","8","45","0","5.6","6","4","23","5.8","1","66.7","3.8","0.0","0","0","0","0","0","0","0","0","0","0","0","0","41","71.9","0","0.0","0","0.0"
"7","73","7","7","2022-10-23","CIN","","ATL","W, 35-17","*","17","58","1","3.4","3","3","33","11.0","0","100.0","11.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","49","72.1","0","0.0","0","0.0"
"8","74","8","8","2022-10-31","CIN","@","CLE","L, 13-32","*","8","27","0","3.4","9","7","32","4.6","0","77.8","3.6","0.0","0","0","0","0","0","0","0","0","0","0","0","0","38","71.7","0","0.0","0","0.0"
"9","75","9","9","2022-11-06","CIN","","CAR","W, 42-21","*","22","153","4","7.0","5","4","58","14.5","1","80.0","11.6","0.0","0","0","0","0","0","0","0","0","0","0","0","0","48","64.9","0","0.0","0","0.0"
"10","76","10","11","2022-11-20","CIN","@","PIT","W, 37-30","*","7","20","0","2.9","3","3","42","14.0","0","100.0","14.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","14","21.2","0","0.0","0","0.0"
"10","","11","12","2022-11-27","CIN","@","TEN","W, 20-16","Inactive"
"10","","12","13","2022-12-04","CIN","","KAN","W, 27-24","Inactive"
"11","77","13","14","2022-12-11","CIN","","CLE","W, 23-10","*","14","96","0","6.9","2","2","10","5.0","0","100.0","5.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","39","58.2","0","0.0","0","0.0"
"12","78","14","15","2022-12-18","CIN","@","TAM","W, 34-23","*","11","21","0","1.9","6","5","33","6.6","0","83.3","5.5","0.0","0","0","0","0","0","0","0","0","0","0","0","0","42","63.6","0","0.0","0","0.0"
"13","79","15","16","2022-12-24","CIN","@","NWE","W, 22-18","*","16","65","0","4.1","9","7","43","6.1","0","77.8","4.8","0.0","0","0","0","0","0","0","0","0","0","0","0","0","49","59.0","0","0.0","0","0.0"
"14","80","16","18","2023-01-08","CIN","","BAL","W, 27-16","*","11","27","1","2.5","5","5","41","8.2","0","100.0","8.2","0.0","0","0","0","0","0","0","0","0","0","0","0","0","36","54.5","0","0.0","0","0.0"
"","","","","","","","","10-4","","210","814","7","3.9","75","60","441","7.4","2","80.0","5.9","0.0","1","1","0","0","0","0","0","0","0","1","0","0","624","64.7","0","0.0","0","0.0"
