"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","33","1","1","2022-09-11","IND","@","HOU","T, 20-20 (OT)","*","31","161","1","5.2","7","4","14","3.5","0","57.1","2.0","0","0","0","0","0","0","70","76.1","0","0.0","0","0.0"
"2","34","2","2","2022-09-18","IND","@","JAX","L, 0-24","*","9","54","0","6.0","1","1","9","9.0","0","100.0","9.0","0","0","0","0","0","0","37","74.0","0","0.0","0","0.0"
"3","35","3","3","2022-09-25","IND","","KAN","W, 20-17","*","21","71","0","3.4","5","3","20","6.7","0","60.0","4.0","0","0","0","1","0","0","54","76.1","0","0.0","0","0.0"
"4","36","4","4","2022-10-02","IND","","TEN","L, 17-24","*","20","42","0","2.1","3","1","1","1.0","0","33.3","0.3","1","1","0","0","0","0","58","87.9","0","0.0","0","0.0"
"4","","5","5","2022-10-06","IND","@","DEN","W, 12-9 (OT)","Inactive"
"4","","6","6","2022-10-16","IND","","JAX","W, 34-27","Inactive"
"5","37","7","7","2022-10-23","IND","@","TEN","L, 10-19","*","10","58","0","5.8","8","7","27","3.9","0","87.5","3.4","0","0","0","0","0","0","35","54.7","0","0.0","0","0.0"
"6","38","8","8","2022-10-30","IND","","WAS","L, 16-17","*","16","76","0","4.8","1","0","0","","0","0.0","0.0","1","1","0","0","0","0","40","69.0","0","0.0","0","0.0"
"6","","9","9","2022-11-06","IND","@","NWE","L, 3-26","Inactive"
"7","39","10","10","2022-11-13","IND","@","LVR","W, 25-20","*","22","147","1","6.7","2","2","16","8.0","0","100.0","8.0","0","0","0","0","0","0","61","93.8","0","0.0","0","0.0"
"8","40","11","11","2022-11-20","IND","","PHI","L, 16-17","*","22","84","1","3.8","4","3","10","3.3","0","75.0","2.5","1","1","0","0","0","0","49","75.4","0","0.0","0","0.0"
"9","41","12","12","2022-11-28","IND","","PIT","L, 17-24","*","20","86","1","4.3","4","3","12","4.0","0","75.0","3.0","0","0","0","0","0","0","59","92.2","0","0.0","0","0.0"
"10","42","13","13","2022-12-04","IND","@","DAL","L, 19-54","*","21","82","0","3.9","4","3","21","7.0","0","75.0","5.3","0","0","0","0","0","0","59","81.9","0","0.0","0","0.0"
"11","43","14","15","2022-12-17","IND","@","MIN","L, 36-39 (OT)","*","0","0","0","","1","1","13","13.0","0","100.0","13.0","0","0","0","0","0","0","2","2.5","0","0.0","0","0.0"
"11","","15","16","2022-12-26","IND","","LAC","L, 3-20","Did Not Play"
"11","","16","17","2023-01-01","IND","@","NYG","L, 10-38","Did Not Play"
"11","","17","18","2023-01-08","IND","","HOU","L, 31-32","Did Not Play"
"","","","","","","","","2-8-1","","192","861","4","4.5","40","28","143","5.1","0","70.0","3.6","3","3","0","1","0","0","524","70.2","0","0.0","0","0.0"
