"","Rushing","Receiving","","Tackles","","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Sk","Comb","Solo","Ast","TFL","QBHits","Sfty","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","1","1","1","2022-09-08","LAR","","BUF","L, 10-31","","0","0","0","","0","0","0","","0","","","0.0","0","0","0","0","0","0","0","0.0","0","0.0","1","5.3"
"1","","2","2","2022-09-18","LAR","","ATL","W, 31-27","Did Not Play"
"1","","3","3","2022-09-25","LAR","@","ARI","W, 20-12","Did Not Play"
"1","","4","4","2022-10-03","LAR","@","SFO","L, 9-24","Did Not Play"
"1","","5","5","2022-10-09","LAR","","DAL","L, 10-22","Did Not Play"
"1","","6","6","2022-10-16","LAR","","CAR","W, 24-10","Did Not Play"
"1","","7","8","2022-10-30","LAR","","SFO","L, 14-31","Did Not Play"
"1","","8","9","2022-11-06","LAR","@","TAM","L, 13-16","Did Not Play"
"2","2","9","10","2022-11-13","LAR","","ARI","L, 17-27","","1","9","0","9.0","3","3","30","10.0","0","100.0","10.0","0.0","0","0","0","0","0","0","16","26.7","0","0.0","5","17.9"
"3","3","10","11","2022-11-20","LAR","@","NOR","L, 20-27","","7","36","0","5.1","2","1","8","8.0","0","50.0","4.0","0.0","0","0","0","0","0","0","35","54.7","0","0.0","8","25.8"
"4","4","11","12","2022-11-27","LAR","@","KAN","L, 10-26","","11","35","0","3.2","3","3","25","8.3","0","100.0","8.3","0.0","0","0","0","0","0","0","38","70.4","0","0.0","5","20.8"
"5","5","12","13","2022-12-04","LAR","","SEA","L, 23-27","","3","9","0","3.0","1","0","0","","0","0.0","0.0","0.0","1","1","0","0","0","0","18","28.1","0","0.0","1","3.7"
"6","6","13","14","2022-12-08","LAR","","LVR","W, 17-16","","3","19","0","6.3","2","1","10","10.0","0","50.0","5.0","0.0","0","0","0","0","0","0","19","29.7","0","0.0","3","12.0"
"7","7","14","15","2022-12-19","LAR","@","GNB","L, 12-24","","2","7","0","3.5","0","0","0","","0","","","0.0","0","0","0","0","0","0","4","8.9","0","0.0","4","19.0"
"8","8","15","16","2022-12-25","LAR","","DEN","W, 51-14","","6","18","0","3.0","1","1","3","3.0","0","100.0","3.0","0.0","0","0","0","0","0","0","8","12.3","0","0.0","2","7.7"
"9","9","16","17","2023-01-01","LAR","@","LAC","L, 10-31","","2","6","0","3.0","0","0","0","","0","","","0.0","1","1","0","0","0","0","3","6.1","0","0.0","8","32.0"
"10","10","17","18","2023-01-08","LAR","@","SEA","L, 16-19 (OT)","","0","0","0","","0","0","0","","0","","","0.0","0","0","0","0","0","0","0","0.0","0","0.0","16","48.5"
"","","","","","","","","2-8","","35","139","0","4.0","12","9","76","8.4","0","75.0","6.3","0.0","2","2","0","0","0","0","141","23.8","0","0.0","53","20.5"
