"","Rushing","Receiving","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","90","1","1","2023-09-10","LAC","","MIA","L, 34-36","*","16","117","1","7.3","5","4","47","11.8","0","80.0","9.4","0","0","0","0","0","0","41","50.6","0","0.0","0","0.0"
"1","","2","2","2023-09-17","LAC","@","TEN","L, 24-27 (OT)","Inactive"
"1","","3","3","2023-09-24","LAC","@","MIN","W, 28-24","Inactive"
"1","","4","4","2023-10-01","LAC","","LVR","W, 24-17","Inactive"
"2","91","5","6","2023-10-16","LAC","","DAL","L, 17-20","*","14","27","0","1.9","6","4","35","8.8","0","66.7","5.8","0","0","0","0","0","0","50","68.5","0","0.0","0","0.0"
"3","92","6","7","2023-10-22","LAC","@","KAN","L, 17-31","*","14","45","0","3.2","2","1","1","1.0","0","50.0","0.5","0","0","0","0","0","0","40","63.5","0","0.0","0","0.0"
"4","93","7","8","2023-10-29","LAC","","CHI","W, 30-13","*","15","29","0","1.9","8","7","94","13.4","1","87.5","11.8","1","1","0","0","0","0","46","66.7","0","0.0","0","0.0"
"5","94","8","9","2023-11-06","LAC","@","NYJ","W, 27-6","*","14","47","2","3.4","7","2","23","11.5","0","28.6","3.3","0","0","0","0","0","0","39","67.2","0","0.0","0","0.0"
"6","95","9","10","2023-11-12","LAC","","DET","L, 38-41","*","19","67","1","3.5","7","4","48","12.0","0","57.1","6.9","0","0","0","0","0","0","50","69.4","0","0.0","0","0.0"
"7","96","10","11","2023-11-19","LAC","@","GNB","L, 20-23","*","10","64","0","6.4","3","2","6","3.0","0","66.7","2.0","1","1","0","0","0","0","46","70.8","0","0.0","0","0.0"
"8","97","11","12","2023-11-26","LAC","","BAL","L, 10-20","*","10","32","0","3.2","6","5","32","6.4","0","83.3","5.3","1","1","0","0","0","0","53","80.3","0","0.0","0","0.0"
"9","98","12","13","2023-12-03","LAC","@","NWE","W, 6-0","*","14","18","0","1.3","3","2","9","4.5","0","66.7","3.0","0","0","0","0","0","0","35","57.4","0","0.0","0","0.0"
"10","99","13","14","2023-12-10","LAC","","DEN","L, 7-24","*","10","51","1","5.1","7","5","49","9.8","0","71.4","7.0","0","0","0","1","-1","0","49","72.1","0","0.0","0","0.0"
"11","100","14","15","2023-12-14","LAC","@","LVR","L, 21-63","*","5","9","0","1.8","6","4","29","7.3","0","66.7","4.8","0","0","0","0","0","0","26","40.0","0","0.0","0","0.0"
"12","101","15","16","2023-12-23","LAC","","BUF","L, 22-24","*","15","65","0","4.3","4","3","21","7.0","0","75.0","5.3","0","0","0","0","0","0","45","64.3","0","0.0","0","0.0"
"13","102","16","17","2023-12-31","LAC","@","DEN","L, 9-16","*","13","46","0","3.5","2","1","4","4.0","0","50.0","2.0","1","1","0","0","0","0","47","72.3","0","0.0","0","0.0"
"14","103","17","18","2024-01-07","LAC","","KAN","L, 12-13","*","10","11","0","1.1","8","7","38","5.4","0","87.5","4.8","1","0","0","0","0","0","63","75.9","0","0.0","0","0.0"
"","","","","","","","","3-11","","179","628","5","3.5","74","51","436","8.5","1","68.9","5.9","5","4","0","1","-1","0","630","65.7","0","0.0","0","0.0"
