"","Rushing","Receiving","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","18","1","1","2023-09-10","JAX","@","IND","W, 31-21","*","18","77","1","4.3","5","5","27","5.4","0","100.0","5.4","56","80.0","0","0.0","0","0.0"
"2","19","2","2","2023-09-17","JAX","","KAN","L, 9-17","*","12","40","0","3.3","3","2","2","1.0","0","66.7","0.7","48","71.6","0","0.0","0","0.0"
"3","20","3","3","2023-09-24","JAX","","HOU","L, 17-37","*","19","88","0","4.6","5","4","50","12.5","0","80.0","10.0","52","71.2","0","0.0","0","0.0"
"4","21","4","4","2023-10-01","JAX","","ATL","W, 23-7","*","20","55","0","2.8","3","3","17","5.7","0","100.0","5.7","56","84.8","0","0.0","0","0.0"
"5","22","5","5","2023-10-08","JAX","@","BUF","W, 25-20","*","26","136","2","5.2","5","4","48","12.0","0","80.0","9.6","73","83.0","0","0.0","0","0.0"
"6","23","6","6","2023-10-15","JAX","","IND","W, 37-20","*","18","55","2","3.1","3","3","28","9.3","0","100.0","9.3","51","79.7","0","0.0","0","0.0"
"7","24","7","7","2023-10-19","JAX","@","NOR","W, 31-24","*","14","53","2","3.8","5","3","24","8.0","0","60.0","4.8","49","87.5","0","0.0","0","0.0"
"8","25","8","8","2023-10-29","JAX","@","PIT","W, 20-10","*","24","79","0","3.3","6","3","70","23.3","1","50.0","11.7","63","88.7","0","0.0","0","0.0"
"9","26","9","10","2023-11-12","JAX","","SFO","L, 3-34","*","9","35","0","3.9","4","2","9","4.5","0","50.0","2.3","35","61.4","0","0.0","0","0.0"
"10","27","10","11","2023-11-19","JAX","","TEN","W, 34-14","*","14","52","0","3.7","3","3","7","2.3","0","100.0","2.3","47","66.2","0","0.0","0","0.0"
"11","28","11","12","2023-11-26","JAX","@","HOU","W, 24-21","*","20","56","0","2.8","6","4","30","7.5","0","66.7","5.0","47","61.8","0","0.0","0","0.0"
"12","29","12","13","2023-12-04","JAX","","CIN","L, 31-34 (OT)","*","11","45","1","4.1","4","4","34","8.5","0","100.0","8.5","43","62.3","0","0.0","0","0.0"
"13","30","13","14","2023-12-10","JAX","@","CLE","L, 27-31","*","14","35","1","2.5","4","4","37","9.3","0","100.0","9.3","59","77.6","0","0.0","0","0.0"
"14","31","14","15","2023-12-17","JAX","","BAL","L, 7-23","*","10","31","0","3.1","6","4","28","7.0","0","66.7","4.7","43","69.4","0","0.0","0","0.0"
"15","32","15","16","2023-12-24","JAX","@","TAM","L, 12-30","*","6","12","0","2.0","3","3","19","6.3","0","100.0","6.3","48","72.7","0","0.0","0","0.0"
"16","33","16","17","2023-12-31","JAX","","CAR","W, 26-0","*","16","102","2","6.4","2","2","16","8.0","0","100.0","8.0","39","61.9","0","0.0","0","0.0"
"17","34","17","18","2024-01-07","JAX","@","TEN","L, 20-28","*","16","57","0","3.6","6","5","30","6.0","0","83.3","5.0","47","66.2","0","0.0","0","0.0"
"","","","","","","","","9-8","","267","1008","11","3.8","73","58","476","8.2","1","79.5","6.5","856","73.4","0","0.0","0","0.0"
