"","Rushing","Receiving","Passing","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Cmp","Att","Yds","TD","Int","Sk","Yds","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","61","1","1","2023-09-10","LVR","@","DEN","W, 17-16","*","19","48","0","2.5","3","2","23","11.5","0","66.7","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","47","79.7","0","0.0","0","0.0"
"2","62","2","2","2023-09-17","LVR","@","BUF","L, 10-38","*","9","-2","0","-0.2","6","5","51","10.2","0","83.3","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","29","72.5","0","0.0","0","0.0"
"3","63","3","3","2023-09-24","LVR","","PIT","L, 18-23","*","17","62","0","3.6","5","3","18","6.0","0","60.0","3.6","0","0","0","0","0","0","0","0","0","0","0","0","0","59","81.9","0","0.0","0","0.0"
"4","64","4","4","2023-10-01","LVR","@","LAC","L, 17-24","*","17","58","1","3.4","11","8","81","10.1","0","72.7","7.4","0","0","0","0","0","0","0","0","0","0","0","0","0","51","69.9","0","0.0","0","0.0"
"5","65","5","5","2023-10-09","LVR","","GNB","W, 17-13","*","20","69","1","3.5","5","5","20","4.0","0","100.0","4.0","0","0","0","0","0","1","4","0","0","0","0","0","0","54","84.4","0","0.0","0","0.0"
"6","66","6","6","2023-10-15","LVR","","NWE","W, 21-17","*","25","77","0","3.1","5","2","16","8.0","0","40.0","3.2","0","0","0","0","0","0","0","0","0","0","0","0","0","57","81.4","0","0.0","0","0.0"
"7","67","7","7","2023-10-22","LVR","@","CHI","L, 12-30","*","11","35","0","3.2","4","1","6","6.0","0","25.0","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","43","66.2","0","0.0","0","0.0"
"8","68","8","8","2023-10-30","LVR","@","DET","L, 14-26","*","15","61","1","4.1","4","2","27","13.5","0","50.0","6.8","0","0","0","0","0","0","0","1","0","0","0","0","0","35","76.1","0","0.0","0","0.0"
"9","69","9","9","2023-11-05","LVR","","NYG","W, 30-6","*","26","98","2","3.8","0","0","0","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","47","78.3","0","0.0","0","0.0"
"10","70","10","10","2023-11-12","LVR","","NYJ","W, 16-12","*","27","116","0","4.3","2","2","11","5.5","0","100.0","5.5","0","0","0","0","0","0","0","2","1","0","0","0","0","53","82.8","0","0.0","0","0.0"
"11","71","11","11","2023-11-19","LVR","@","MIA","L, 13-20","*","14","39","0","2.8","1","1","12","12.0","0","100.0","12.0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","77.0","0","0.0","0","0.0"
"12","72","12","12","2023-11-26","LVR","","KAN","L, 17-31","*","20","110","1","5.5","6","4","15","3.8","0","66.7","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","44","75.9","0","0.0","0","0.0"
"13","73","13","14","2023-12-10","LVR","","MIN","L, 0-3","*","13","34","0","2.6","2","2","16","8.0","0","100.0","8.0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","63.0","0","0.0","0","0.0"
"13","","14","15","2023-12-14","LVR","","LAC","W, 63-21","Inactive"
"13","","15","16","2023-12-25","LVR","@","KAN","W, 20-14","Inactive"
"13","","16","17","2023-12-31","LVR","@","IND","L, 20-23","Inactive"
"13","","17","18","2024-01-07","LVR","","DEN","W, 27-14","Inactive"
"","","","","","","","","5-8","","233","805","6","3.5","54","37","296","8.0","0","68.5","5.5","0","0","0","0","0","1","4","3","1","0","0","0","0","600","76.3","0","0.0","0","0.0"
