"","Rushing","Receiving","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","81","1","1","2023-09-10","CIN","@","CLE","L, 3-24","*","13","56","0","4.3","5","3","17","5.7","0","60.0","3.4","35","62.5","0","0.0","0","0.0"
"2","82","2","2","2023-09-17","CIN","","BAL","L, 24-27","*","13","59","0","4.5","5","4","36","9.0","0","80.0","7.2","47","78.3","0","0.0","0","0.0"
"3","83","3","3","2023-09-25","CIN","","LAR","W, 19-16","*","19","65","1","3.4","2","1","5","5.0","0","50.0","2.5","58","75.3","0","0.0","0","0.0"
"4","84","4","4","2023-10-01","CIN","@","TEN","L, 3-27","*","14","67","0","4.8","1","1","9","9.0","0","100.0","9.0","42","79.2","0","0.0","0","0.0"
"5","85","5","5","2023-10-08","CIN","@","ARI","W, 34-20","*","25","81","0","3.2","4","4","13","3.3","0","100.0","3.3","63","76.8","0","0.0","0","0.0"
"6","86","6","6","2023-10-15","CIN","","SEA","W, 17-13","*","12","38","0","3.2","4","3","24","8.0","0","75.0","6.0","38","70.4","0","0.0","0","0.0"
"7","87","7","8","2023-10-29","CIN","@","SFO","W, 31-17","*","16","87","1","5.4","3","3","23","7.7","0","100.0","7.7","47","74.6","0","0.0","0","0.0"
"8","88","8","9","2023-11-05","CIN","","BUF","W, 24-18","*","14","37","1","2.6","6","5","31","6.2","0","83.3","5.2","51","72.9","0","0.0","0","0.0"
"9","89","9","10","2023-11-12","CIN","","HOU","L, 27-30","*","11","46","1","4.2","3","2","-1","-0.5","0","66.7","-0.3","47","73.4","0","0.0","0","0.0"
"10","90","10","11","2023-11-16","CIN","@","BAL","L, 20-34","*","16","69","0","4.3","5","5","31","6.2","1","100.0","6.2","39","63.9","0","0.0","0","0.0"
"11","91","11","12","2023-11-26","CIN","","PIT","L, 10-16","*","8","16","0","2.0","2","2","44","22.0","0","100.0","22.0","28","65.1","0","0.0","0","0.0"
"12","92","12","13","2023-12-04","CIN","@","JAX","W, 34-31 (OT)","*","19","68","2","3.6","7","6","49","8.2","0","85.7","7.0","52","71.2","0","0.0","0","0.0"
"13","93","13","14","2023-12-10","CIN","","IND","W, 34-14","*","21","79","1","3.8","4","3","46","15.3","0","75.0","11.5","38","63.3","0","0.0","0","0.0"
"14","94","14","15","2023-12-16","CIN","","MIN","W, 27-24 (OT)","*","10","47","1","4.7","3","3","14","4.7","0","100.0","4.7","49","70.0","0","0.0","0","0.0"
"15","95","15","16","2023-12-23","CIN","@","PIT","L, 11-34","*","11","43","0","3.9","4","2","7","3.5","0","50.0","1.8","38","59.4","0","0.0","0","0.0"
"16","96","16","17","2023-12-31","CIN","@","KAN","L, 17-25","*","21","65","0","3.1","4","4","22","5.5","1","100.0","5.5","45","60.8","0","0.0","0","0.0"
"17","97","17","18","2024-01-07","CIN","","CLE","W, 31-14","*","14","111","1","7.9","2","1","6","6.0","1","50.0","3.0","35","54.7","0","0.0","0","0.0"
"","","","","","","","","9-8","","257","1034","9","4.0","64","52","376","7.2","3","81.3","5.9","752","69.1","0","0.0","0","0.0"
