"","Rushing","Receiving","Kick Returns","Punt Returns","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Ret","Yds","KRTD","Y/Ret","Ret","Yds","PRTD","Y/Ret","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","11","1","1","2023-09-10","LAR","@","SEA","W, 30-13","","15","52","2","3.5","2","0","2","","0","0.0","1.0","1","8","0","8.0","1","7","0","7.0","0","0","0","0","0","0","53","65.4","0","0.0","8","28.6"
"2","12","2","2","2023-09-17","LAR","","SFO","L, 23-30","*","14","52","1","3.7","10","6","48","8.0","1","60.0","4.8","0","0","0","","1","11","0","11.0","0","0","0","0","0","0","76","95.0","0","0.0","4","14.3"
"3","13","3","3","2023-09-25","LAR","@","CIN","L, 16-19","*","10","38","0","3.8","7","2","27","13.5","0","28.6","3.9","0","0","0","","1","3","0","3.0","0","0","0","0","0","0","55","100.0","0","0.0","6","19.4"
"4","14","4","4","2023-10-01","LAR","@","IND","W, 29-23 (OT)","*","25","103","2","4.1","3","3","24","8.0","0","100.0","8.0","0","0","0","","0","0","0","","1","0","0","0","0","0","59","72.0","0","0.0","0","0.0"
"5","15","5","5","2023-10-08","LAR","","PHI","L, 14-23","*","13","53","0","4.1","2","2","4","2.0","0","100.0","2.0","0","0","0","","0","0","0","","0","0","0","0","0","0","47","83.9","0","0.0","0","0.0"
"6","16","6","6","2023-10-15","LAR","","ARI","W, 26-9","*","20","158","1","7.9","0","0","0","","0","","","0","0","0","","0","0","0","","0","0","0","0","0","0","47","82.5","0","0.0","0","0.0"
"6","","7","7","2023-10-22","LAR","","PIT","L, 17-24","Did Not Play"
"6","","8","8","2023-10-29","LAR","@","DAL","L, 20-43","Did Not Play"
"6","","9","9","2023-11-05","LAR","@","GNB","L, 3-20","Did Not Play"
"6","","10","11","2023-11-19","LAR","","SEA","W, 17-16","Did Not Play"
"7","17","11","12","2023-11-26","LAR","@","ARI","W, 37-14","*","16","143","0","8.9","6","6","61","10.2","2","100.0","10.2","0","0","0","","0","0","0","","0","0","0","0","0","0","41","61.2","0","0.0","0","0.0"
"8","18","12","13","2023-12-03","LAR","","CLE","W, 36-19","*","21","88","1","4.2","5","3","24","8.0","0","60.0","4.8","0","0","0","","0","0","0","","0","0","0","0","0","0","60","93.8","0","0.0","1","3.0"
"9","19","13","14","2023-12-10","LAR","@","BAL","L, 31-37 (OT)","*","25","114","0","4.6","4","3","-1","-0.3","0","75.0","-0.3","0","0","0","","0","0","0","","0","0","0","0","0","0","69","89.6","0","0.0","1","2.7"
"10","20","14","15","2023-12-17","LAR","","WAS","W, 28-20","*","27","152","1","5.6","7","5","3","0.6","0","71.4","0.4","0","0","0","","0","0","0","","2","2","0","0","0","0","58","77.3","0","0.0","2","7.4"
"11","21","15","16","2023-12-21","LAR","","NOR","W, 30-22","*","22","104","1","4.7","0","0","0","","0","","","0","0","0","","0","0","0","","0","0","0","0","0","0","55","78.6","0","0.0","2","8.3"
"12","22","16","17","2023-12-31","LAR","@","NYG","W, 26-25","*","20","87","3","4.4","2","2","14","7.0","0","100.0","7.0","0","0","0","","0","0","0","","0","0","0","0","0","0","58","93.5","0","0.0","1","3.3"
"12","","17","18","2024-01-07","LAR","@","SFO","W, 21-20","Inactive"
"","","","","","","","","8-4","","228","1144","12","5.0","48","32","206","6.4","3","66.7","4.3","1","8","0","8.0","3","21","0","7.0","3","2","0","0","0","0","678","82.1","0","0.0","25","7.4"
