player,seasons_played,first_season,last_season,player_id
AJ Dillon,3,2021,2023,D
Aaron Jones,4,2021,2024,J
Aaron Shampklin,1,2024,2024,S
Adam Prentice,4,2021,2024,P
Adrian Peterson,3,2021,2021,P
Alec Ingold,4,2021,2024,I
Alex Armah,2,2021,2023,A
Alex Collins,1,2021,2021,C
Alexander Mattison,4,2021,2024,M
Alvin Kamara,4,2021,2024,K
Ameer Abdullah,6,2021,2024,A
Andrew Beck,4,2023,2024,B
Andy Janovich,1,2021,2021,J
Anthony Firkser,2,2021,2022,F
Anthony McFarland Jr.,3,2021,2023,M
Antonio Gibson,4,2021,2024,G
Audric Estime,1,2024,2024,E
Austin Ekeler,4,2021,2024,E
Austin Walter,1,2021,2021,W
Avery Williams,1,2022,2022,W
Benny Snell Jr.,2,2021,2022,S
Bijan Robinson,2,2023,2024,R
Blake Corum,1,2024,2024,C
Blake Watson,1,2024,2024,W
Boston Scott,3,2021,2023,S
Braelon Allen,1,2024,2024,A
Brandon Bolden,3,2021,2023,B
Breece Hall,3,2022,2024,H
Brian Robinson Jr.,3,2022,2024,R
British Brooks,1,2024,2024,B
Bucky Irving,1,2024,2024,I
Buddy Howell,1,2021,2021,H
C.J. Ham,4,2021,2024,H
Caleb Huntley,1,2022,2022,H
Cam Akers,8,2021,2024,A
Carlos Hyde,1,2021,2021,H
Carson Steele,1,2024,2024,S
Chase Brown,2,2023,2024,B
Chase Edmonds,5,2021,2023,E
Chris Brooks,2,2023,2024,B
Chris Carson,1,2021,2021,C
Chris Collier,1,2024,2024,C
Chris Evans,3,2021,2023,E
Chris Herndon,1,2021,2021,H
Chris Myarick,1,2022,2022,M
Chris Rodriguez,2,2023,2024,R
Christian McCaffrey,6,2021,2024,M
Chuba Hubbard,4,2021,2024,H
Clyde Edwards-Helaire,4,2021,2024,E
Cody Schrader,1,2024,2024,S
Cordarrelle Patterson,4,2021,2024,P
Corey Clement,2,2021,2022,C
Craig Reynolds,4,2021,2024,R
D'Andre Swift,4,2021,2024,S
D'Ernest Johnson,4,2021,2024,J
D'Onta Foreman,4,2021,2024,F
Dalvin Cook,4,2021,2024,C
Damarea Crockett,1,2021,2021,C
Dameon Pierce,3,2022,2024,P
Damien Harris,3,2021,2023,H
Damien Williams,3,2021,2023,W
Dare Ogunbowale,4,2021,2024,O
Darius Bradwell,1,2021,2021,B
Darrel Williams,2,2021,2022,W
Darrell Henderson,3,2021,2023,H
Darrynton Evans,6,2021,2024,E
David Johnson,2,2021,2022,J
David Montgomery,4,2021,2024,M
De'Von Achane,2,2023,2024,A
DeeJay Dallas,4,2021,2024,D
Deon Jackson,5,2021,2023,J
Derek Watt,2,2021,2022,W
Derrick Gore,2,2021,2023,G
Derrick Henry,4,2021,2024,H
Deuce Vaughn,2,2023,2024,V
Devin Singletary,4,2021,2024,S
Devine Ozigbo,3,2021,2023,O
Devonta Freeman,1,2021,2021,F
Devontae Booker,1,2021,2021,B
Dontrell Hilliard,2,2021,2022,H
Duke Johnson,2,2021,2022,J
Dwayne Washington,2,2021,2022,W
Dylan Laube,1,2024,2024,L
Elijah Dotson,1,2023,2023,D
Elijah Mitchell,3,2021,2023,M
Elijhaa Penny,1,2021,2021,P
Emanuel Wilson,2,2023,2024,W
Emari Demercado,2,2023,2024,D
Eno Benjamin,5,2021,2022,B
Eric Gray,2,2023,2024,G
Evan Hull,1,2023,2023,H
Ezekiel Elliott,4,2021,2024,E
Gabe Nabers,1,2021,2021,N
Gary Brightwell,3,2021,2023,B
George Holani,1,2024,2024,H
Giovani Bernard,2,2021,2022,B
Giovanni Ricci,1,2021,2021,R
Godwin Igwebuike,2,2021,2022,I
Gus Edwards,3,2022,2024,E
Hassan Haskins,2,2022,2024,H
Hunter Luepke,2,2023,2024,L
Isaac Guerendo,1,2024,2024,G
Isaiah Davis,1,2024,2024,D
Isaiah Spiller,2,2022,2023,S
Isiah Pacheco,3,2022,2024,P
Israel Abanikanda,1,2023,2023,A
Ito Smith,1,2021,2021,S
J.D. McKissic,2,2021,2022,M
