player,player_id,pfr_url,season,first_name,name_length,name_rank
Jonathan Taylor,T,https://www.pro-football-reference.com/players/T/TaylJo02.htm,2021,Jonathan,15,6.0
Najee Harris,H,https://www.pro-football-reference.com/players/H/HarrNa00.htm,2021,Najee,12,9.0
Joe Mixon,M,https://www.pro-football-reference.com/players/M/MixoJo00.htm,2021,Joe,9,12.0
Antonio Gibson,G,https://www.pro-football-reference.com/players/G/GibsAn00.htm,2021,Antonio,14,7.0
Dalvin Cook,C,https://www.pro-football-reference.com/players/C/CookDa01.htm,2021,Dalvin,11,10.0
Alvin Kamara,K,https://www.pro-football-reference.com/players/K/KamaAl00.htm,2021,Alvin,12,9.0
Ezekiel Elliott,E,https://www.pro-football-reference.com/players/E/ElliEz00.htm,2021,Ezekiel,15,6.0
Nick Chubb,C,https://www.pro-football-reference.com/players/C/ChubNi00.htm,2021,Nick,10,11.0
David Montgomery,M,https://www.pro-football-reference.com/players/M/MontDa01.htm,2021,David,16,5.0
Derrick Henry,H,https://www.pro-football-reference.com/players/H/HenrDe00.htm,2021,Derrick,13,8.0
Josh Jacobs,J,https://www.pro-football-reference.com/players/J/JacoJo01.htm,2021,Josh,11,10.0
Austin Ekeler,E,https://www.pro-football-reference.com/players/E/EkelAu00.htm,2021,Austin,13,8.0
Javonte Williams,W,https://www.pro-football-reference.com/players/W/WillJa10.htm,2021,Javonte,16,5.0
James Conner,C,https://www.pro-football-reference.com/players/C/ConnJa00.htm,2021,James,12,9.0
Devin Singletary,S,https://www.pro-football-reference.com/players/S/SingDe00.htm,2021,Devin,16,5.0
Chuba Hubbard,H,https://www.pro-football-reference.com/players/H/HubbCh01.htm,2021,Chuba,13,8.0
Aaron Jones,J,https://www.pro-football-reference.com/players/J/JoneAa00.htm,2021,Aaron,11,10.0
Saquon Barkley,B,https://www.pro-football-reference.com/players/B/BarkSa00.htm,2021,Saquon,14,7.0
Cordarrelle Patterson,P,https://www.pro-football-reference.com/players/P/PattCo00.htm,2021,Cordarrelle,21,1.0
Jamaal Williams,W,https://www.pro-football-reference.com/players/W/WillJa06.htm,2021,Jamaal,15,6.0
D'Andre Swift,S,https://www.pro-football-reference.com/players/S/SwifDA00.htm,2021,D'Andre,13,8.0
Michael Carter,C,https://www.pro-football-reference.com/players/C/CartMi03.htm,2021,Michael,14,7.0
Miles Sanders,S,https://www.pro-football-reference.com/players/S/SandMi01.htm,2021,Miles,13,8.0
Alexander Mattison,M,https://www.pro-football-reference.com/players/M/MattAl01.htm,2021,Alexander,18,3.0
D'Onta Foreman,F,https://www.pro-football-reference.com/players/F/ForeDO00.htm,2021,D'Onta,14,7.0
Rhamondre Stevenson,S,https://www.pro-football-reference.com/players/S/StevRh00.htm,2021,Rhamondre,19,2.0
Tony Pollard,P,https://www.pro-football-reference.com/players/P/PollTo00.htm,2021,Tony,12,9.0
Clyde Edwards-Helaire,E,https://www.pro-football-reference.com/players/E/EdwaCl00.htm,2021,Clyde,21,1.0
Khalil Herbert,H,https://www.pro-football-reference.com/players/H/HerbKh00.htm,2021,Khalil,14,7.0
D'Ernest Johnson,J,https://www.pro-football-reference.com/players/J/JohnDE04.htm,2021,D'Ernest,16,5.0
Christian McCaffrey,M,https://www.pro-football-reference.com/players/M/McCaCh01.htm,2021,Christian,19,2.0
Zack Moss,M,https://www.pro-football-reference.com/players/M/MossZa00.htm,2021,Zack,9,12.0
Jeff Wilson,W,https://www.pro-football-reference.com/players/W/WilsJe01.htm,2021,Jeff,11,10.0
Kareem Hunt,H,https://www.pro-football-reference.com/players/H/HuntKa00.htm,2021,Kareem,11,10.0
Kenneth Gainwell,G,https://www.pro-football-reference.com/players/G/GainKe00.htm,2021,Kenneth,16,5.0
Ty Johnson,J,https://www.pro-football-reference.com/players/J/JohnTy02.htm,2021,Ty,10,11.0
Samaje Perine,P,https://www.pro-football-reference.com/players/P/PeriSa00.htm,2021,Samaje,13,8.0
Craig Reynolds,R,https://www.pro-football-reference.com/players/R/ReynCr00.htm,2021,Craig,14,7.0
Tony Jones,J,https://www.pro-football-reference.com/players/J/JoneTo04.htm,2021,Tony,10,11.0
Ameer Abdullah,A,https://www.pro-football-reference.com/players/A/AbduAm00.htm,2021,Ameer,14,7.0
Ameer Abdullah,A,https://www.pro-football-reference.com/players/A/AbduAm00.htm,2021,Ameer,14,7.0
Ameer Abdullah,A,https://www.pro-football-reference.com/players/A/AbduAm00.htm,2021,Ameer,14,7.0
Dare Ogunbowale,O,https://www.pro-football-reference.com/players/O/OgunDa00.htm,2021,Dare,15,6.0
Trey Sermon,S,https://www.pro-football-reference.com/players/S/SermTr00.htm,2021,Trey,11,10.0
Ke'Shawn Vaughn,V,https://www.pro-football-reference.com/players/V/VaugKe00.htm,2021,Ke'Shawn,15,6.0
DeeJay Dallas,D,https://www.pro-football-reference.com/players/D/DallDe00.htm,2021,DeeJay,13,8.0
Joshua Kelley,K,https://www.pro-football-reference.com/players/K/KellJo01.htm,2021,Joshua,13,8.0
Patrick Taylor,T,https://www.pro-football-reference.com/players/T/TaylPa01.htm,2021,Patrick,14,7.0
Travis Homer,H,https://www.pro-football-reference.com/players/H/HomeTr00.htm,2021,Travis,12,9.0
Jamycal Hasty,H,https://www.pro-football-reference.com/players/H/HastJa02.htm,2021,Jamycal,13,8.0
Jonathan Ward,W,https://www.pro-football-reference.com/players/W/WardJo00.htm,2021,Jonathan,13,8.0
Michael Burton,B,https://www.pro-football-reference.com/players/B/BurtMi00.htm,2021,Michael,14,7.0
Kyle Juszczyk,J,https://www.pro-football-reference.com/players/J/JuszKy00.htm,2021,Kyle,13,8.0
C.J. Ham,H,https://www.pro-football-reference.com/players/H/HamxC.00.htm,2021,C.J.,8,13.0
Cam Akers,A,https://www.pro-football-reference.com/players/A/AkerCa00.htm,2021,Cam,9,12.0
Reggie Gilliam,G,https://www.pro-football-reference.com/players/G/GillRe00.htm,2021,Reggie,14,7.0
Adam Prentice,P,https://www.pro-football-reference.com/players/P/PrenAd00.htm,2021,Adam,13,8.0
Darrynton Evans,E,https://www.pro-football-reference.com/players/E/EvanDa02.htm,2021,Darrynton,15,6.0
Alec Ingold,I,https://www.pro-football-reference.com/players/I/IngoAl01.htm,2021,Alec,11,10.0
Raheem Mostert,M,https://www.pro-football-reference.com/players/M/MostRa00.htm,2021,Raheem,14,7.0
Patrick Ricard,R,https://www.pro-football-reference.com/players/R/RicaPa00.htm,2021,Patrick,14,7.0
Derrick Henry,H,https://www.pro-football-reference.com/players/H/HenrDe00.htm,2022,Derrick,13,8.0
Josh Jacobs,J,https://www.pro-football-reference.com/players/J/JacoJo01.htm,2022,Josh,11,10.0
Nick Chubb,C,https://www.pro-football-reference.com/players/C/ChubNi00.htm,2022,Nick,10,11.0
Saquon Barkley,B,https://www.pro-football-reference.com/players/B/BarkSa00.htm,2022,Saquon,14,7.0
Najee Harris,H,https://www.pro-football-reference.com/players/H/HarrNa00.htm,2022,Najee,12,9.0
Dalvin Cook,C,https://www.pro-football-reference.com/players/C/CookDa01.htm,2022,Dalvin,11,10.0
Jamaal Williams,W,https://www.pro-football-reference.com/players/W/WillJa06.htm,2022,Jamaal,15,6.0
Miles Sanders,S,https://www.pro-football-reference.com/players/S/SandMi01.htm,2022,Miles,13,8.0
Christian McCaffrey,M,https://www.pro-football-reference.com/players/M/McCaCh01.htm,2022,Christian,19,2.0
Christian McCaffrey,M,https://www.pro-football-reference.com/players/M/McCaCh01.htm,2022,Christian,19,2.0
Christian McCaffrey,M,https://www.pro-football-reference.com/players/M/McCaCh01.htm,2022,Christian,19,2.0
Ezekiel Elliott,E,https://www.pro-football-reference.com/players/E/ElliEz00.htm,2022,Ezekiel,15,6.0
Alvin Kamara,K,https://www.pro-football-reference.com/players/K/KamaAl00.htm,2022,Alvin,12,9.0
